lat, lon, grp
40.49619100000035, -80.25886500000006, 2
40.497179, -80.25894, 2
40.497949, -80.258904, 2
40.498306, -80.258848, 2
40.49869, -80.258671, 2
40.498883, -80.258505, 2
40.499167, -80.258054, 2
40.499296, -80.257634, 2
40.49935, -80.257166, 2
40.499329, -80.256819, 2
40.499266, -80.25653, 2
40.499104, -80.256063, 2
40.498992, -80.255804, 2
40.49888, -80.255632, 2
40.498741, -80.255482, 2
40.498466, -80.255314, 2
40.498192, -80.255231, 2
40.497944, -80.255239, 2
40.497349, -80.255543, 2
40.496638, -80.255571, 2
40.496476, -80.255673, 2
40.49634900000009, -80.25575400000022, 2
40.495955, -80.255577, 2
40.494632, -80.255596, 2
40.494419, -80.255535, 2
40.494165, -80.255374, 2
40.493812, -80.255287, 2
40.493497, -80.255322, 2
40.493181, -80.255539, 2
40.49292, -80.255849, 2
40.492763, -80.256147, 2
40.492455, -80.257382, 2
40.492517, -80.257984, 2
40.492677, -80.258406, 2
40.492907, -80.258765, 2
40.493147, -80.258981, 2
40.493528, -80.259116, 2
40.495705, -80.25907, 2
40.496694, -80.258969, 2
40.497949, -80.258904, 2
40.498213, -80.258932, 2
40.49847, -80.259051, 2
40.498627, -80.259167, 2
40.49889, -80.259488, 2
40.498979, -80.259693, 2
40.499204, -80.261098, 2
40.499326, -80.263556, 2
40.499177, -80.264575, 2
40.499079, -80.264964, 2
40.498943, -80.265306, 2
40.498541, -80.266034, 2
40.498296, -80.266379, 2
40.497821, -80.266787, 2
40.497262, -80.267093, 2
40.495924, -80.267411, 2
40.495054, -80.267653, 2
40.493728, -80.268102, 2
40.490145, -80.26963, 2
40.489797, -80.269726, 2
40.489387, -80.269751, 2
40.489006, -80.269692, 2
40.488722, -80.269595, 2
40.488427, -80.269421, 2
40.488057, -80.269123, 2
40.487717, -80.268744, 2
40.486784, -80.267308, 2
40.485918, -80.266182, 2
40.485322, -80.265498, 2
40.484988, -80.265035, 2
40.483948, -80.263973, 2
40.483182, -80.263069, 2
40.482594, -80.262248, 2
40.481313, -80.260088, 2
40.47911, -80.256153, 2
40.478619, -80.255349, 2
40.478067, -80.254571, 2
40.477382, -80.253757, 2
40.470592, -80.246894, 2
40.469974, -80.246253, 2
40.469625, -80.245838, 2
40.469081, -80.245058, 2
40.468693, -80.244406, 2
40.468376, -80.24376, 2
40.468023, -80.242843, 2
40.467775, -80.241991, 2
40.467582, -80.241114, 2
40.467464, -80.240275, 2
40.4674, -80.23934, 2
40.467408, -80.2384, 2
40.467503, -80.237316, 2
40.467648, -80.236457, 2
40.467828, -80.235698, 2
40.468095, -80.234858, 2
40.468368, -80.234182, 2
40.470387, -80.230275, 2
40.47072, -80.229506, 2
40.470954, -80.228812, 2
40.471165, -80.22802, 2
40.471291, -80.227391, 2
40.472318, -80.217621, 2
40.472502, -80.215703, 2
40.472533, -80.214955, 2
40.472484, -80.213833, 2
40.472387, -80.213059, 2
40.472204, -80.212202, 2
40.471985, -80.211445, 2
40.471742, -80.210779, 2
40.471459, -80.210153, 2
40.469539, -80.206664, 2
40.469147, -80.205913, 2
40.468898, -80.205354, 2
40.468538, -80.204309, 2
40.468368, -80.20361, 2
40.46782, -80.200333, 2
40.467689, -80.199702, 2
40.467494, -80.199037, 2
40.467232, -80.198356, 2
40.466916, -80.197703, 2
40.466582, -80.197146, 2
40.466224, -80.196652, 2
40.465658, -80.196021, 2
40.46132, -80.192467, 2
40.460734, -80.191945, 2
40.460091, -80.191256, 2
40.456766, -80.187034, 2
40.456231, -80.18627, 2
40.455829, -80.185605, 2
