lat, lon, stpnm, stpid, grp
40.44402199999966, -79.99205200000047, EAST BUSWAY + PENN STATION C, 1407, 1
40.44341699999901, -79.99645100000087, LIBERTY AVE + SMITHFIELD ST, 1408, 1
40.44253700000022, -79.9997660000013, LIBERTY AVE + 7TH ST (CLARK BLDG), 180, 1
40.4444450000012, -80.00073499999978, 7TH ST + FT DUQUESNE BLVD, 213, 1
40.44784600000109, -80.00196399999932, SANDUSKY ST + ISABELLA ST, 214, 1
40.45032100000078, -80.00277600000143, SANDUSKY ST + STOCKTON AVE, 215, 1
40.451530000000716, -80.00104100000014, CEDAR AVE + PRESSLEY ST, 944, 1
40.45296799999953, -80.00150400000157, CEDAR AVE + EAST OHIO, 19329, 1
40.454779999998514, -80.00209800000096, CEDAR AVE + SUISMON ST, 2596, 1
40.45604299999919, -80.00392900000129, NORTH AVE + SANDUSKY ST (AGH), 18636, 1
40.455886999998654, -80.00669999999916, FEDERAL ST + NORTH AVE FS, 873, 1
40.4572319999998, -80.00712599999898, FEDERAL ST + HEMLOCK ST, 19577, 1
40.45876299999981, -80.00762100000163, FEDERAL ST + HENDERSON, 875, 1
40.45903300000006, -80.00687899999822, HENDERSON ST + FOUNTAIN, 983, 1
40.45922699999895, -80.00564699999946, HENDERSON ST + SANDUSKY CT, 984, 1
40.45959800000106, -80.00259999999882, HENDERSON ST + JAMES ST STEPS, 985, 1
40.46025299999854, -80.00167600000005, HENDERSON ST + JAY, 986, 1
40.461295000000334, -80.00161299999846, HENDERSON ST + CARRIE, 967, 1
40.46093800000079, -80.00267999999834, WARREN ST + CATOMA, 968, 1
40.46063099999857, -80.00408700000135, CATOMA ST + LANARK, 969, 1
40.46064100000096, -80.00473000000139, MEADVILLE ST + #1603, 16899, 1
40.461919999999054, -80.0054919999986, MEADVILLE ST + BELLEAU, 970, 1
40.46247000000054, -80.0056789999998, MEADVILLE ST + TELEVISION HILL ST, 971, 1
40.463549999999266, -80.00601400000178, MEADVILLE ST + RISING MAIN, 972, 1
40.46374800000073, -80.00534399999913, RISING MAIN AVE + LANARK, 973, 1
40.4648470000011, -80.00560000000027, BIGGS AVE AT GLENROSE ST, 22747, 1
40.46688499999916, -80.00507000000141, HAZELTON ST + SEABRIGHT, 976, 1
40.46728999999998, -80.00583799999887, HAZELTON ST + SUFFOLK, 977, 1
40.46868900000001, -80.00415999999925, WURZELL AVE + BURGESS, 978, 1
40.47099499999958, -80.00599000000125, BRULE ST + MAGNET, 979, 1
40.47123699999877, -80.00717399999837, HAZELTON ST + CHARLES, 980, 1
40.4710630000004, -80.00848099999968, CHARLES ST + PERRYSVILLE, 981, 1
40.47054700000073, -80.01115400000087, CHARLES ST + SHELTON, 959, 1
40.47027199999866, -80.01260800000165, CHARLES ST + NORWOOD, 960, 1
40.47003899999976, -80.01383999999972, CHARLES ST + LINWOOD, 961, 1
40.46894999999921, -80.0141800000003, WILSON ST + CHARLES, 18643, 1
40.46846799999851, -80.01390900000163, WILSON ST + KENWOOD, 16898, 1
40.46743200000042, -80.01356299999833, WILSON AVE + CHESTER, 963, 1
40.46652700000019, -80.0132699999999, WILSON AVE + BURGESS, 964, 1
40.46502899999891, -80.01278400000004, WILSON AVE + DRUM, 965, 1
40.46377199999902, -80.0123689999984, WILSON AVE + PERRYSVILLE, 966, 1
40.463044000000075, -80.01380700000115, PERRYSVILLE AVE + MCCLINTOCK, 833, 1
40.46144800000047, -80.0136429999997, PERRYSVILLE AVE + #1923, 834, 1
40.46031600000092, -80.01318700000111, PERRYSVILLE AVE + OHERN, 835, 1
40.46001100000094, -80.01167000000001, PERRYSVILLE AVE + #1749, 836, 1
40.4611549999987, -80.00889399999997, PERRYSVILLE AVE + FEDERAL, 837, 1
40.45893800000002, -80.00785700000122, FEDERAL ST + ALPINE, 839, 1
40.457743999998776, -80.00745800000026, FEDERAL ST + SAMPSONIA, 840, 1
40.4555639999995, -80.00571500000123, NORTH AVE + BOYLE, 625, 1
40.45574700000075, -80.00472699999949, NORTH AVE + SANDUSKY, 626, 1
40.45611699999988, -80.00286000000122, NORTH AVE + CEDAR (AGH), 627, 1
40.454959000000585, -80.00230200000142, CEDAR AVE + SUISMON ST, 853, 1
40.453460999999194, -80.00181900000081, CEDAR AVE + EAST OHIO ST, 174, 1
40.45158699999956, -80.00120600000096, CEDAR AVE + PRESSLEY ST, 175, 1
40.45003999999983, -80.00279599999867, SANDUSKY ST + UNDERPASS, 854, 1
40.448729999998896, -80.00238199999907, SANDUSKY ST + GENERAL ROBINSON ST, 12712, 1
40.442939999998984, -80.00019100000178, 7TH ST + PENN AVE FS, 12626, 1
40.442834999999, -79.99810499999836, LIBERTY AVE + 9TH ST, 15283, 1
40.443185999999386, -79.99679199999832, LIBERTY AVE + SMITHFIELD ST, 1403, 1
40.4435439999992, -79.99539000000027, LIBERTY AVE + WILLIAM PENN PL, 15285, 1
40.44389599999851, -79.99207399999935, EAST BUSWAY + PENN STATION A, 20287, 1
