lat, lon, stpnm, stpid, grp
40.44402199999966, -79.99205200000047, EAST BUSWAY + PENN STATION C, 1407, 1
40.44329200000063, -79.99431600000015, GRANT ST + LIBERTY AVE FS (FED BLDG), 15287, 1
40.44155700000093, -79.99547200000164, GRANT ST + STRAWBERRY WAY (US STEEL TOWER), 7874, 1
40.44024500000061, -79.99633400000114, GRANT ST + OLIVER AVE, 17396, 1
40.43989499999975, -79.99800799999822, FIFTH AVE + WILLIAM PENN PL FS, 17629, 1
40.44047499999966, -79.99953999999988, FIFTH AVE + WOOD ST NS, 18800, 1
40.44117800000019, -80.0014340000012, FIFTH AVE + MARKET ST, 20684, 1
40.442748000000606, -80.00425699999846, STANWIX ST + PENN FS, 19514, 1
40.47942200000033, -80.04351899999843, OHIO RIVER BLVD + MCKEES ROCKS BRIDGE FS, 18291, 1
40.481480999998446, -80.04597700000126, OHIO RIVER BLVD + MILLERTON, 1421, 1
40.48627499999923, -80.05388300000145, OHIO RIVER BLVD + KENDALL, 1422, 1
40.48840000000071, -80.05309300000098, GRANT ST + LAUREL, 1667, 1
40.48893600000007, -80.0523929999999, GRANT ST + WOODLAWN, 1668, 1
40.48944799999927, -80.05172199999916, GRANT ST + JEFFERSON, 1669, 1
40.490246999999684, -80.05070700000043, GRANT ST + DAVIS, 1670, 1
40.49087399999937, -80.04988300000072, GRANT ST + WASHINGTON FS, 1671, 1
40.49196599999953, -80.04848100000102, GRANT ST + LINCOLN, 1672, 1
40.49250599999936, -80.04922300000155, LINCOLN AVE + BRIGHTON RD, 1626, 1
40.49399400000046, -80.05225399999956, LINCOLN AVE + FREMONT AVE, 1628, 1
40.49552500000024, -80.05540500000038, LINCOLN AVE + BALPH, 1630, 1
40.49679000000009, -80.05795199999882, LINCOLN AVE + JACKSON, 1319, 1
40.49779400000092, -80.05998900000056, LINCOLN AVE + STARR AVE, 1320, 1
40.4985840000009, -80.06170000000097, CALIFORNIA AVE + HOME, 1321, 1
40.499211999998714, -80.06331300000161, CALIFORNIA AVE OPP ELIZABETH, 18318, 1
40.500071000001086, -80.06546599999871, CALIFORNIA AVE + CHESTNUT, 1324, 1
40.50096999999885, -80.06712999999861, CALIFORNIA AVE + SCHOOL, 1325, 1
40.501814000000124, -80.06895499999952, CALIFORNIA AVE + BIRMINGHAM, 1326, 1
40.5026470000002, -80.07122999999939, CALIFORNIA AVE + OHIO st, 18320, 1
40.50353000000067, -80.07418899999965, CALIFORNIA  AVE + AVALON LOOP, 20479, 1
40.504413000000376, -80.07506799999841, DIVISION ST + MARIE, 1632, 1
40.50643000000063, -80.07463199999889, CHURCH AVE + VICTORIA, 1633, 1
40.50698900000053, -80.07659000000018, CHURCH AVE + WALNUT, 1634, 1
40.50739299999879, -80.07914400000146, CHURCH AVE + RIDGE, 1635, 1
40.50814899999883, -80.0825909999988, CHURCH AVE + FOREST, 1637, 1
40.509140999999524, -80.08489900000043, CHURCH AVE AT DALZELL AVE, 22597, 1
40.510250000001, -80.08689899999887, CHURCH AVE AT PERRYSVILLE AVE, 22598, 1
40.51105100000072, -80.08825100000054, CENTER AVE AT PLUMER AVE, 22599, 1
40.51157899999991, -80.09062599999866, CENTER AVE AT VISTA ST, 22600, 1
40.51318700000091, -80.09356999999927, CENTER AVE AT MILLER AVE, 22601, 1
40.51336399999945, -80.09521199999831, CENTER AVE AT LOCUST AVE, 22602, 1
40.51324599999848, -80.09717900000149, CENTER AVE AT NORTH AVE, 22603, 1
40.51320199999865, -80.09846999999957, CENTER AVE + CHURCH, 1646, 1
40.513162000000584, -80.09981400000049, CENTER AVE + PENNSYLVANIA, 1647, 1
40.513132999999534, -80.10099099999971, CENTER AVE + ALLEGHENY, 1648, 1
40.51305800000114, -80.10279899999915, CENTER AVE + WALLISTON, 1649, 1
