lat, lon, stpnm, stpid, grp
40.49619100000035, -80.25886500000006, LAYOVER AIRPORT TERMINUS (NO STOP), 22683, 2
40.49634900000009, -80.25575400000022, PGH INTERNL AIRPORT LOWER LEVEL (DOOR6), 4405, 2
40.45343500000121, -80.17200999999932, ROBINSON TOWNE CTR DR + PARK MANOR BLVD, 15995, 2
40.45340699999933, -80.16768700000168, PARK MANOR BLVD + IKEA, 3822, 2
40.45286599999916, -80.16518400000155, PARK MANOR BLVD + ROBINSON LN, 3991, 2
40.45174499999963, -80.16138499999965, PARK MANOR DR + ROBINSON CENTER DR, 17168, 2
40.44916899999915, -80.16298900000113, PARK MANOR DR + ROBINSON PLAZA, 20692, 2
40.415599999999806, -80.08272600000025, WEST BUSWAY + BELL STATION C, 15277, 2
40.42622399999952, -80.07256199999885, WEST BUSWAY + IDLEWOOD STATION C, 15278, 2
40.4357449999994, -80.06757099999899, WEST BUSWAY + CRAFTON STATION C, 15279, 2
40.44386000000022, -80.06588899999922, WEST BUSWAY + INGRAM STATION C, 15280, 2
40.45256600000036, -80.05293499999962, WEST BUSWAY + SHERADEN STATION C, 15281, 2
40.4416939999991, -80.02174300000163, W CARSON ST + GATEWAY VIEW PLAZA, 2258, 2
40.439865000000026, -80.01743299999923, W CARSON ST + DUQUESNE INCLINE, 2260, 2
40.441341000001, -80.00499000000089, LIBERTY AVE + GATEWAY #4, 20295, 2
40.44180200000057, -80.00208199999925, LIBERTY AVE + MARKET ST, 45, 2
40.44249999999882, -79.99941899999922, LIBERTY AVE + WOOD ST, 46, 2
40.44256299999947, -79.99613899999963, SEVENTH AVE + WILLIAM PENN PL, 20698, 2
40.43484999999977, -79.98873600000044, BLVD OF ALLIES + DUQUESNE UNIV FOOTBRIDGE, 24, 2
40.43722500000045, -79.96284499999935, FORBES AVE + CRAFT AVE FS, 26, 2
40.43829499999883, -79.96140900000154, FORBES AVE + HALKET ST (MAGEE HOSPITAL), 27, 2
40.43967000000061, -79.95950000000083, FORBES AVE + MCKEE PL, 28, 2
40.440986999998884, -79.95768500000058, FORBES AVE + ATWOOD ST, 29, 2
40.44217300000065, -79.95606199999827, FORBES AVE + BOUQUET ST FS, 30, 2
40.4430520000012, -79.95383499999886, FORBES AVE + BIGELOW BLVD (SCHENLEY DR), 31, 2
40.443641999998576, -79.95149200000078, FORBES AVE + BELLEFIELD NS, 2568, 2
40.44432700000086, -79.94889299999946, FORBES AVE + CRAIG ST, 7115, 2
40.445112999999864, -79.9426999999992, MOREWOOD AVE AT FORBES AVE FS, 22641, 2
40.44764199999892, -79.93889299999866, FIFTH AVE + AMBERSON, 1178, 2
40.44778999999894, -79.93687099999839, FIFTH AVE + WILKINS FS, 1179, 2
40.44829599999874, -79.9343870000004, FIFTH AVE + S AIKEN, 3255, 2
40.44898499999976, -79.9322129999994, FIFTH AVE + BELLEFONTE, 3256, 2
40.44974099999887, -79.92977499999964, FIFTH AVE + NEGLEY, 3257, 2
40.45043899999917, -79.92753800000042, FIFTH AVE + MARYLAND, 3258, 2
40.45108499999968, -79.92592899999869, FIFTH AVE + COLLEGE, 3259, 2
40.451839000000085, -79.92405999999895, FIFTH AVE + HIGHLAND, 8316, 2
40.45282899999983, -79.92085600000058, FIFTH AVE + SHADY, 8317, 2
40.453541999999686, -79.91554299999925, FIFTH AVE + BEECHWOOD, 8318, 2
40.453871999999706, -79.91315000000014, FIFTH AVE + HASTINGS ST FS (PENN), 20015, 2
40.454809999998986, -79.91146400000038, FIFTH AVE + THOMAS BLVD, 8320, 2
40.45601099999907, -79.91085600000167, EAST LIBERTY DRWY + FIFTH FS, 16029, 2
