lat, lon, stpnm, stpid, grp
40.45550499999882, -79.91088099999858, FIFTH AVE + MCPHERSON FS, 20108, 1
40.45398599999944, -79.91304699999941, FIFTH AVE + PENN AVE FS, 20014, 1
40.4537129999995, -79.91520700000152, FIFTH AVE + BEECHWOOD, 8310, 1
40.45296199999966, -79.92058500000121, FIFTH AVE + SHADY, 8311, 1
40.452049000001026, -79.92384199999977, FIFTH AVE + HIGHLAND, 8312, 1
40.45130099999882, -79.9256960000012, FIFTH AVE + COLLEGE, 3141, 1
40.45060499999909, -79.92740699999901, FIFTH AVE + MARYLAND, 3142, 1
40.44991700000106, -79.92956000000072, FIFTH AVE + NEGLEY, 3143, 1
40.44900899999949, -79.93249799999964, FIFTH AVE + BELLEFONTE, 3144, 1
40.4484929999988, -79.93410100000163, FIFTH AVE + AIKEN, 3145, 1
40.44789199999865, -79.93689600000071, FIFTH AVE + WILKINS, 1165, 1
40.44775800000072, -79.93874199999877, FIFTH AVE + AMBERSON, 1166, 1
40.44469799999913, -79.94375599999886, FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON), 4407, 1
40.44452499999927, -79.94854100000154, FORBES AVE + CRAIG ST, 4409, 1
40.444179999999704, -79.95000200000175, FORBES AVE + DITHRIDGE ST, 2638, 1
40.445740000000235, -79.9531020000007, FIFTH AVE + TENNYSON AVE, 33, 1
40.44458400000019, -79.95468100000168, FIFTH AVE + BIGELOW BLVD (PITT), 34, 1
40.44328200000106, -79.95651099999891, FIFTH AVE + THACKERAY AVE, 35, 1
40.44190200000057, -79.9584430000002, FIFTH  AVE + ATWOOD ST, 36, 1
40.43948299999896, -79.96169800000126, FIFTH  AVE + CHESTERFIELD RD, 38, 1
40.43796199999893, -79.96379499999823, FIFTH AVE + CRAFT AVE (CARLOW UNIV), 2639, 1
40.438587000000076, -79.9848519999988, FIFTH AVE + PRIDE ST, 3154, 1
40.43864600000101, -79.98623700000084, FIFTH AVE + STEVENSON ST, 3155, 1
40.442790999998785, -79.996619999999, SEVENTH AVE + SMITHFIELD ST, 1125, 1
40.442792000000765, -79.99860999999859, LIBERTY AVE + TITO WAY, 15266, 1
40.44179700000076, -80.0025140000018, LIBERTY AVE + FIFTH  AVE, 11186, 1
40.44143999999862, -80.00564300000062, LIBERTY AVE + WYNDHAM GRAND HOTEL, 4126, 1
40.43987299999953, -80.01716800000075, W CARSON ST + DUQUESNE INCLINE, 2309, 1
40.4417029999994, -80.02136700000149, W CARSON ST + GATEWAY VIEW PLAZA, 2310, 1
40.44477999999959, -80.02882499999863, W CARSON ST + WEST END BRIDGE STEPS (UNDERPASS), 2312, 1
40.452706999999144, -80.05290499999818, WEST BUSWAY + SHERADEN STATION B, 15270, 1
40.443814999999766, -80.06606499999876, WEST BUSWAY + INGRAM STATION STOP B, 18729, 1
40.43572499999978, -80.06774300000177, WEST BUSWAY + CRAFTON STATION STOP B, 18730, 1
40.426262999998606, -80.07275000000125, WEST BUSWAY + IDLEWOOD STATION STOP B, 18731, 1
40.415637000000636, -80.08288700000165, WEST BUSWAY + BELL STATION STOP B, 18732, 1
40.45343500000121, -80.17200999999932, ROBINSON TOWNE CTR DR + PARK MANOR BLVD, 15995, 1
40.45340699999933, -80.16768700000168, PARK MANOR BLVD + IKEA, 3822, 1
40.45286599999916, -80.16518400000155, PARK MANOR BLVD + ROBINSON LN, 3991, 1
40.45174499999963, -80.16138499999965, PARK MANOR DR + ROBINSON CENTER DR, 17168, 1
40.44916899999915, -80.16298900000113, PARK MANOR DR + ROBINSON PLAZA, 20692, 1
40.49532899999851, -80.25578000000115, PGH AIRPORT UPPER LEVEL (DEPARTURES), 22682, 1
40.49619100000035, -80.25886500000006, LAYOVER AIRPORT TERMINUS (NO STOP), 22683, 1
