lat, lon, stpnm, stpid, grp
40.391498000001, -80.00024700000134, ALTMAR ST + REAMER, 6189, 1
40.39190000000008, -80.00264800000122, REAMER ST + #1555, 6190, 1
40.39226599999978, -80.00512799999869, BROOKLINE BLVD + GREENCREST, 6191, 1
40.39247199999946, -80.00716100000133, BROOKLINE BLVD + #1439, 6192, 1
40.39232899999907, -80.01070600000062, BROOKLINE BLVD + BREINING, 6193, 1
40.39224700000078, -80.01292499999882, BROOKLINE BLVD AT BELLAIRE PL, 22604, 1
40.39201499999931, -80.01515099999935, BROOKLINE BLVD AT EDGEBROOK AVE, 22605, 1
40.3921580000002, -80.01761799999984, BROOKLINE BLVD + GLENARM, 20833, 1
40.3937199999994, -80.0198390000006, BROOKLINE BLVD + FLATBUSH, 6198, 1
40.394816999999804, -80.0213510000011, BROOKLINE BLVD + CASTLEGATE, 6199, 1
40.39617600000067, -80.02333200000153, BROOKLINE BLVD + PIONEER, 6647, 1
40.39716400000117, -80.02321499999837, PIONEER AVE + BELLAIRE, 6081, 1
40.39789199999907, -80.02287999999947, PIONEER AVE + ROSSMORE, 6082, 1
40.39849200000003, -80.02208900000021, PIONEER AVE + GALLION, 6083, 1
40.39915599999986, -80.0212010000013, PIONEER AVE + BERWIN, 6084, 1
40.40009799999886, -80.02017999999914, PIONEER AVE + METZ, 6085, 1
40.40114899999868, -80.01851099999894, PIONEER AVE + BELLBROOK, 6086, 1
40.402386000000476, -80.01596499999862, PIONEER AVE + DUNSTER, 6088, 1
40.403373999998934, -80.01553400000118, PIONEER AVE + CRYSLER FS, 19506, 1
40.40544300000056, -80.01504999999864, PIONEER AVE + STETSON, 6090, 1
40.406925000000385, -80.01498899999875, PIONEER AVE + SOUTHCREST, 6091, 1
40.40941199999868, -80.01384299999862, PIONEER AVE + NORTHCREST, 6092, 1
40.41182800000056, -80.00902799999855, PIONEER AVE RAMP + SOUTH BUSWAY, 6093, 1
40.41643200000069, -80.01183299999963, SOUTH BUSWAY + PALM GARDEN, 6094, 1
40.42125499999911, -80.00680400000027, SOUTH BUSWAY + SOUTH HILLS JCT , 6095, 1
40.43178899999928, -80.00370500000085, PRIVATE ROADWAY + STATION SQUARE STATION, 9827, 1
40.43189499999924, -80.00331200000093, E CARSON ST + STATION SQUARE STATION, 11216, 1
40.43706599999896, -80.0016629999986, FT PITT BLVD + SMITHFIELD ST FS, 4828, 1
40.439076000000256, -80.00147100000095, WOOD ST + THIRD AVE FS, 4829, 1
40.44029200000095, -80.00063999999941, WOOD ST + FORBES AVE AND FIFTH AVE, 4831, 1
40.4418010000008, -79.99964299999903, WOOD ST + SIXTH AVE, 4832, 1
40.442834999999, -79.99810499999836, LIBERTY AVE + 9TH ST, 15283, 1
40.443185999999386, -79.99679199999832, LIBERTY AVE + SMITHFIELD ST, 1403, 1
40.4435439999992, -79.99539000000027, LIBERTY AVE + WILLIAM PENN PL, 15285, 1
40.44389599999851, -79.99207399999935, EAST BUSWAY + PENN STATION A, 20287, 1
40.39161500000032, -80.0171590000013, CHELTON AVE + QUEENSBORO, 6164, 3
40.38985800000012, -80.01476999999988, CHELTON AVE + OAKRIDGE, 6165, 3
40.388400000000544, -80.01274899999883, CHELTON AVE + FREEDOM, 6166, 3
40.38903500000025, -80.01174700000091, FREEDOM AVE + CREEDMORE FS, 19510, 3
40.38941000000007, -80.01128800000039, FREEDOM AVE + WAREMAN, 6168, 3
40.390075999999375, -80.01046800000083, FREEDOM AVE + MERRICK, 6169, 3
40.38954599999968, -80.00964800000165, MERRICK AVE + HOBSON, 6170, 3
40.38837599999963, -80.00827799999995, EBEN ST + SHIRE PL, 20946, 3
40.38840200000118, -80.00708800000004, SHIRE PL + BREINING ST, 22619, 3
40.392337000000936, -80.00944699999856, BROOKLINE BLVD + BIRCHLAND, 6654, 3
40.39241800000074, -80.00750000000082, BROOKLINE BLVD + #1439, 6185, 3
40.392350000000135, -80.00540999999882, BROOKLINE BLVD + GREENCREST, 6186, 3
40.39122399999959, -80.0030939999988, BROOKLINE BLVD + #1572, 6187, 3
40.3910619999987, -80.00049100000061, BROOKLINE BLVD + ALTMAR, 6188, 3
40.391498000001, -80.00024700000134, ALTMAR ST + REAMER, 6189, 3
