lat, lon, stpnm, stpid, grp
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 2
40.44023200000057, -79.99860899999877, SMITHFIELD ST AT FIFTH AVE, 22728, 2
40.439558000000304, -79.99905500000085, SMITHFIELD ST + FORBES AVE, 4838, 2
40.43830200000052, -79.9998980000012, SMITHFIELD ST + THIRD AVE, 4839, 2
40.436890999999584, -80.00084199999931, SMITHFIELD ST + FT PITT BLVD, 4840, 2
40.43183500000066, -80.00345599999973, E CARSON ST + STATION SQUARE STATION, 4841, 2
40.43013299999869, -79.99927799999837, E CARSON ST + 2ND ST, 4842, 2
40.42932600000082, -79.99689899999957, E CARSON ST + TERMINAL WAY, 19877, 2
40.42873300000113, -79.99516999999989, E CARSON ST + 5TH ST, 4844, 2
40.42860000000023, -79.99197299999953, E CARSON ST + 7TH FS, 18465, 2
40.42865399999897, -79.9889939999994, E CARSON ST + 10TH ST, 4847, 2
40.428717999999364, -79.98656000000135, E CARSON ST + 12TH ST, 4848, 2
40.428770000000306, -79.98425099999889, E CARSON ST + 14TH ST, 4850, 2
40.428818000000675, -79.98217899999952, E CARSON ST + 17TH ST, 4852, 2
40.428718999999504, -79.980703999999, E CARSON ST + 18TH ST, 4853, 2
40.428548999999634, -79.9778470000008, E CARSON ST + 20TH, 2553, 2
40.428469000000696, -79.97645500000128, E CARSON ST + 21ST ST, 2554, 2
40.42837400000065, -79.97478399999869, E CARSON ST + 22ND ST, 2555, 2
40.42816300000039, -79.97130999999902, E CARSON ST + 24TH, 4854, 2
40.42782000000112, -79.96995500000037, E CARSON ST + 25TH ST, 4855, 2
40.42744899999918, -79.96858400000121, E CARSON ST + 26TH ST, 19663, 2
40.42582999999884, -79.96919899999907, 26TH ST + JANE ST, 19665, 2
40.424232999998864, -79.9699560000017, 26TH ST + JOSEPHINE ST, 4858, 2
40.42382099999971, -79.96905200000086, JOSEPHINE ST + BARRY, 4859, 2
40.421862999999554, -79.96504399999883, JOSEPHINE ST + #3033, 4861, 2
40.42004199999891, -79.96427899999884, JOSEPHINE ST + #3201, 19666, 2
40.418987000000364, -79.96467699999991, JOSEPHINE ST + #3237, 4863, 2
40.41810700000122, -79.96689699999828, JOSEPHINE ST + SALISBURY FS, 19370, 2
40.4175139999988, -79.96551099999859, JOSEPHINE ST + ARLINGTON AVE, 20785, 2
40.417288999999066, -79.9676619999989, ARLINGTON AVE + DENGLER, 4865, 2
40.41754200000096, -79.96951300000099, ARLINGTON AVE + COLOGNE, 4867, 2
40.417641000001126, -79.97134499999999, ARLINGTON AVE + CLOVER, 4868, 2
40.41730199999941, -79.97441600000037, ARLINGTON AVE + STERLING, 4870, 2
40.417165999998986, -79.97586100000096, ARLINGTON AVE + FERNLEAF, 4871, 2
40.417973999999894, -79.97853399999987, ARLINGTON AVE + JULIA, 4873, 2
40.41769400000059, -79.98261399999883, ARLINGTON AVE + FREDERICK, 4875, 2
40.41763700000098, -79.98450700000014, ARLINGTON AVE + KOEHLER, 4876, 2
40.41758199999878, -79.98623199999827, ARLINGTON AVE + S 18TH, 4877, 2
40.419179000000135, -79.98912900000103, ARLINGTON AVE + FREELAND, 2670, 2
40.42021000000101, -79.99073199999859, ARLINGTON AVE + KNOX, 18632, 2
40.421691999998785, -79.99226699999848, ARLINGTON AVE + WARRINGTON, 19667, 2
40.42184500000106, -79.99357900000014, WARRINGTON AVE + ALLEN, 4884, 2
40.421712000000326, -79.99724600000039, WARRINGTON AVE + BELTZHOOVER, 4886, 2
40.421067000000356, -80.00045500000175, WARRINGTON AVE + ESTELLA AVE, 4888, 2
40.421542999999076, -80.00350199999987, HABERMAN RAMP + HARWOOD STEPS, 4890, 2
40.42113500000021, -80.00611100000026, SHJ BUS TURNAROUND SHELTER, 4764, 2
