lat, lon, stpnm, stpid, grp
40.36490199999858, -79.98299400000136, BROWNSVILLE RD + DEWALT AVE FS, 20671, 2
40.36603699999984, -79.98174099999954, BROWNSVILLE RD + MEADOWBROOK BLVD, 9364, 2
40.36757500000096, -79.97839599999958, BROWNSVILLE RD + BRENTRIDGE FS, 18475, 2
40.36919499999848, -79.97555700000062, BROWNSVILLE RD + KAUFMANN AVE, 9368, 2
40.371977000000165, -79.97526500000052, BROWNSVILLE RD + HILLMAN FS, 18477, 2
40.375121999999905, -79.97549099999966, BROWNSVILLE RD + PARK DR, 9373, 2
40.377796999999006, -79.97536199999956, BROWNSVILLE RD + E GARDEN RD, 9375, 2
40.380776999999355, -79.97585499999863, BROWNSVILLE RD + BRENTWOOD LOOP, 9377, 2
40.384113999998874, -79.97754600000073, BROWNSVILLE RD + SANKEY AVE, 9380, 2
40.386925000000815, -79.98180600000178, BROWNSVILLE RD + CLIFTON BLVD, 9980, 2
40.389309999999234, -79.98535899999868, BROWNSVILLE RD + OVERBROOK BLVD, 9983, 2
40.39123400000025, -79.98654699999908, BROWNSVILLE RD + PARKFIELD ST, 9984, 2
40.395101999999234, -79.98668100000096, BROWNSVILLE RD + E AGNEW RD, 9987, 2
40.396629000000594, -79.98756799999985, BROWNSVILLE RD + CRAILO AVE, 9988, 2
40.39973100000097, -79.98900299999958, BROWNSVILLE RD + E MEYERS AVE, 9990, 2
40.400887999998815, -79.98915799999962, BROWNSVILLE RD + THE BOULEVARD, 9991, 2
40.403757999999804, -79.99001599999971, BROWNSVILLE RD + NOBLES LN, 9993, 2
40.408547999999485, -79.99114300000177, BROWNSVILLE RD + MCKINLEY ST, 9996, 2
40.41060999999948, -79.99019299999884, BROWNSVILLE RD + KNOX AVE, 2532, 2
40.4183470000003, -79.98818100000122, AMANDA ST + ARLINGTON AVE, 2537, 2
40.42021000000101, -79.99073199999859, ARLINGTON AVE + KNOX, 18632, 2
40.42153699999939, -80.00610099999939, HABERMAN RAMP + SOUTH HILLS JCT, 6706, 2
40.43178899999928, -80.00370500000085, PRIVATE ROADWAY + STATION SQUARE STATION, 9827, 2
40.43189499999924, -80.00331200000093, E CARSON ST + STATION SQUARE STATION, 11216, 2
40.43706599999896, -80.0016629999986, FT PITT BLVD + SMITHFIELD ST FS, 4828, 2
40.439076000000256, -80.00147100000095, WOOD ST + THIRD AVE FS, 4829, 2
40.44029200000095, -80.00063999999941, WOOD ST + FORBES AVE AND FIFTH AVE, 4831, 2
40.4418010000008, -79.99964299999903, WOOD ST + SIXTH AVE, 4832, 2
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 2
40.43706599999896, -80.0016629999986, FT PITT BLVD + SMITHFIELD ST FS, 4828, 3
40.439076000000256, -80.00147100000095, WOOD ST + THIRD AVE FS, 4829, 3
40.44029200000095, -80.00063999999941, WOOD ST + FORBES AVE AND FIFTH AVE, 4831, 3
40.4418010000008, -79.99964299999903, WOOD ST + SIXTH AVE, 4832, 3
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 3
