lat, lon, stpnm, stpid, grp
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 1
40.44023200000057, -79.99860899999877, SMITHFIELD ST AT FIFTH AVE, 22728, 1
40.439558000000304, -79.99905500000085, SMITHFIELD ST + FORBES AVE, 4838, 1
40.43830200000052, -79.9998980000012, SMITHFIELD ST + THIRD AVE, 4839, 1
40.436890999999584, -80.00084199999931, SMITHFIELD ST + FT PITT BLVD, 4840, 1
40.43183500000066, -80.00345599999973, E CARSON ST + STATION SQUARE STATION, 4841, 1
40.420224000000594, -79.99090300000178, ARLINGTON AVE + KNOX, 4773, 1
40.41794999999856, -79.98714200000103, ARLINGTON+ JOHN F.S., 15833, 1
40.4108319999994, -79.99022099999844, BROWNSVILLE RD + KNOX AVE, 2666, 1
40.40897799999882, -79.99106599999962, BROWNSVILLE RD + MCKINLEY ST, 2667, 1
40.40395799999941, -79.99023000000147, BROWNSVILLE RD + NOBLES LN, 10016, 1
40.40112700000015, -79.98931699999977, BROWNSVILLE RD + THE BOULEVARD, 10018, 1
40.39988699999877, -79.98915300000024, BROWNSVILLE RD + E MEYERS AVE, 10019, 1
40.39672000000008, -79.98774300000115, BROWNSVILLE RD + CRAILO AVE, 10022, 1
40.395140000000076, -79.98682999999991, BROWNSVILLE RD + AGNEW RD, 10023, 1
40.391476999999774, -79.98668500000115, BROWNSVILLE RD + PARKFIELD ST, 10026, 1
40.38938400000115, -79.98552599999893, BROWNSVILLE RD + OVERBROOK BLVD, 10027, 1
40.38743600000059, -79.98405500000047, BROWNSVILLE RD + BISCAYNE DR, 10029, 1
40.38683000000039, -79.98184599999912, BROWNSVILLE RD + CLIFTON BLVD, 10030, 1
40.38458099999926, -79.97800900000173, BROWNSVILLE RD + MAYTIDE ST, 10033, 1
40.38057200000078, -79.97590499999842, BROWNSVILLE RD + IRON & GLASS BANK, 18782, 1
40.377925000000154, -79.97548500000073, BROWNSVILLE RD + W GARDEN RD, 9541, 1
40.37493899999866, -79.97560100000038, BROWNSVILLE RD + HILLSON AVE FS, 9543, 1
40.37165200000012, -79.97535400000002, BROWNSVILLE RD + HILLMAN ST, 9545, 1
40.36908499999868, -79.97581000000028, BROWNSVILLE RD + KAUFMAN AVE FS, 9547, 1
40.36754799999924, -79.97866599999846, BROWNSVILLE RD + BRENTRIDGE AVE, 20423, 1
40.366744000000494, -79.98096000000119, BROWNSVILLE RD + TOWN SQUARE, 16611, 1
