lat, lon, stpnm, stpid, grp
40.41377200000001, -79.8532239999986, BRADDOCK HILLS SHOPPING CENTER TERMINAL (NO STOP), 22580, 2
40.41455499999896, -79.8533399999993, BRADDOCK HILLS S C + STOREFRONT, 12565, 2
40.414494999998844, -79.85521899999952, BRADDOCK HILLS SC + GIANT EAGLE, 7357, 2
40.41232400000115, -79.85638900000082, YOST BLVD + BRINTON RD FS, 7531, 2
40.40828899999861, -79.85799900000069, YOST BLVD + MAIN, 7533, 2
40.405729999999416, -79.86346299999977, 6TH ST + BALDRIDGE, 12567, 2
40.404332999999056, -79.86686099999983, 6TH ST + MARGARETTA ST, 20450, 2
40.403336999999986, -79.86855600000058, 6TH ST + BRADDOCK AVE, 7292, 2
40.403770999999, -79.86916299999865, BRADDOCK AVE + COREY, 7469, 2
40.40492299999855, -79.87113999999941, BRADDOCK AVE + 4TH, 7471, 2
40.40612600000038, -79.8733030000004, BRADDOCK AVE + 2ND, 7473, 2
40.407102999999886, -79.8750399999998, BRADDOCK AVE + LINE, 19499, 2
40.41038100000085, -79.87799100000059, RANKIN BLVD + KENMAWR, 18994, 2
40.41197300000084, -79.88096599999892, RANKIN BLVD + HAWKINS, 18995, 2
40.41306199999908, -79.88304299999969, RANKIN BLVD + BLDG #5, 7211, 2
40.413905999998924, -79.88365699999832, HARRIETT ST + BLDG #2, 7212, 2
40.41464499999972, -79.88331899999943, HARRIETT ST + 5TH, 7213, 2
40.41603300000107, -79.88525099999832, MILLER ST + GAS ST, 7215, 2
40.41736099999921, -79.88754399999907, MON0NGAHELA + #2129, 16500, 2
40.41816100000066, -79.88804199999927, MONONGAHELA AVE + DUQUESNE, 7217, 2
40.41982900000088, -79.8890629999998, MONONGAHELA AVE + WASHINGTON, 7218, 2
40.42072099999863, -79.8896119999994, MONONGAHELA AVE + IRVINE, 7219, 2
40.42175099999988, -79.89025199999904, MONONGAHELA AVE + CHURCH, 7220, 2
40.42347999999858, -79.89131199999954, MONONGAHELA AVE + SCHOYER, 7222, 2
40.42560699999877, -79.89160600000078, MONONGAHELA AVE + WHIPPLE (#1641), 7223, 2
40.428848000000094, -79.89171999999957, BRADDOCK AVE + GREENDALE FS, 7225, 2
40.43065000000017, -79.89249399999855, BRADDOCK AVE + CHARLESTON, 7226, 2
40.43168700000028, -79.89316100000029, BRADDOCK AVE + SANDERS, 7227, 2
40.4326809999985, -79.89388400000051, BRADDOCK AVE + HUTCHINSON, 7228, 2
40.43413600000048, -79.8949349999987, BRADDOCK AVE + OVERTON, 7229, 2
40.43576099999856, -79.89589100000052, BRADDOCK AVE + HENRIETTA, 7230, 2
40.43676999999848, -79.89633100000052, BRADDOCK AVE + BIDDLE, 7231, 2
40.438141999999246, -79.89693200000072, BRADDOCK AVE AT GUTHRIE ST, 22549, 2
40.43969199999955, -79.89837600000112, FORBES AVE + BRADDOCK FS, 7233, 2
40.438069999999485, -79.91278900000039, FORBES AVE + DALLAS, 7093, 2
40.43808300000029, -79.91507899999851, FORBES AVE + BEECHWOOD, 7094, 2
40.43806199999934, -79.91922300000124, FORBES AVE + SHADY, 7095, 2
40.43809499999977, -79.92352299999939, FORBES + MURRAY FS, 7096, 2
40.438101999999816, -79.92752000000038, FORBES AVE + WIGHTMAN, 7097, 2
40.43790599999915, -79.93058700000057, FORBES AVE + MURDOCH, 7098, 2
40.43900300000109, -79.93417099999965, FORBES AVE + NORTHUMBERLAND FS, 7100, 2
40.44037599999958, -79.93541700000092, FORBES AVE + PLAINFIELD, 7101, 2
40.442605999999344, -79.93747700000101, FORBES AVE + MARGARET MORRISON, 7102, 2
40.443832999998904, -79.93861800000134, FORBES AVE + BEELER, 7103, 2
40.44469799999913, -79.94375599999886, FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON), 4407, 2
40.44452499999927, -79.94854100000154, FORBES AVE + CRAIG ST, 4409, 2
40.444179999999704, -79.95000200000175, FORBES AVE + DITHRIDGE ST, 2638, 2
40.445740000000235, -79.9531020000007, FIFTH AVE + TENNYSON AVE, 33, 2
40.44458400000019, -79.95468100000168, FIFTH AVE + BIGELOW BLVD (PITT), 34, 2
40.44328200000106, -79.95651099999891, FIFTH AVE + THACKERAY AVE, 35, 2
40.44190200000057, -79.9584430000002, FIFTH  AVE + ATWOOD ST, 36, 2
40.43948299999896, -79.96169800000126, FIFTH  AVE + CHESTERFIELD RD, 38, 2
40.43796199999893, -79.96379499999823, FIFTH AVE + CRAFT AVE (CARLOW UNIV), 2639, 2
40.43707916591804, -79.96585918650774, FIFTH AVE AT ROBINSON ST FS, 22609, 2
40.43650399999927, -79.96854099999847, FIFTH AVE + BRENHAM FS, 18165, 2
40.43690700000033, -79.97009500000163, FIFTH AVE + #2410 (ACTA PROGRAM), 2643, 2
40.437201999998884, -79.97099899999907, FIFTH AVE + #2358, 2644, 2
40.4378749999986, -79.97303899999875, FIFTH AVE + KIRKPATRICK FS, 18164, 2
40.43808200000029, -79.97454400000055, FIFTH AVE + MOULTRIE ST FS, 3147, 2
40.43819100000012, -79.9757959999985, FIFTH AVE + SENECA ST, 3148, 2
40.43827500000019, -79.97736199999862, FIFTH AVE + WYANDOTTE ST, 3149, 2
40.43834600000109, -79.97935999999973, FIFTH AVE + GIST ST, 3150, 2
40.438396999998865, -79.98063900000149, FIFTH AVE + DINWIDDIE ST, 3151, 2
40.43846899999888, -79.98242599999914, FIFTH AVE + VAN BRAAM ST, 3152, 2
40.438587000000076, -79.9848519999988, FIFTH AVE + PRIDE ST, 3154, 2
40.43864600000101, -79.98623700000084, FIFTH AVE + STEVENSON ST, 3155, 2
