lat, lon, stpnm, stpid, grp
40.44079199999867, -80.00065799999945, FIFTH AVE + WOOD ST, 20690, 1
40.4401209999985, -79.99883799999887, FIFTH AVE + SMITHFIELD ST, 20691, 1
40.43900200000089, -79.99582700000049, FIFTH AVE + ROSS ST, 20293, 1
40.437995000001116, -79.99353500000058, FORBES AVE + BOYD ST (DUQUESNE UNIV), 3241, 1
40.43794999999923, -79.99123400000033, FORBES AVE + MCANULTY DR, 3242, 1
40.43779000000051, -79.98849499999979, FORBES AVE + MAGEE ST, 3243, 1
40.43771500000013, -79.98669299999834, FORBES AVE + STEVENSON ST, 3244, 1
40.43763300000063, -79.98529300000038, FORBES AVE + PRIDE ST (MERCY HOSPITAL), 3245, 1
40.43752799999888, -79.98284199999861, FORBES AVE + VAN BRAAM ST, 3246, 1
40.437476000001034, -79.98169100000072, FORBES AVE + MILTENBERGER ST, 3247, 1
40.43738700000032, -79.97963499999966, FORBES AVE + GIST ST, 3248, 1
40.437331999999756, -79.9779969999996, FORBES AVE + JUMONVILLE, 7112, 1
40.437240999998856, -79.97613499999953, FORBES AVE + SENECA, 7113, 1
40.437178999998835, -79.97481299999836, FORBES AVE + MOULTRIE, 7114, 1
40.43722500000045, -79.96284499999935, FORBES AVE + CRAFT AVE FS, 26, 1
40.43829499999883, -79.96140900000154, FORBES AVE + HALKET ST (MAGEE HOSPITAL), 27, 1
40.43967000000061, -79.95950000000083, FORBES AVE + MCKEE PL, 28, 1
40.440986999998884, -79.95768500000058, FORBES AVE + ATWOOD ST, 29, 1
40.44217300000065, -79.95606199999827, FORBES AVE + BOUQUET ST FS, 30, 1
40.4430520000012, -79.95383499999886, FORBES AVE + BIGELOW BLVD (SCHENLEY DR), 31, 1
40.443641999998576, -79.95149200000078, FORBES AVE + BELLEFIELD NS, 2568, 1
40.44432700000086, -79.94889299999946, FORBES AVE + CRAIG ST, 7115, 1
40.44445799999993, -79.94229099999866, FORBES AVE + MOREWOOD (CARNEGIE MELLON), 7117, 1
40.44395900000055, -79.93940000000006, FORBES AVE + BEELER, 7119, 1
40.442788999999024, -79.9377799999986, FORBES + MARGARET MORRISON NS, 18173, 1
40.440575000000266, -79.93571900000126, FORBES AVE + PLAINFIELD, 7121, 1
40.43895599999882, -79.93424699999933, FORBES AVE + NORTHUMBERLAND, 20103, 1
40.43797399999975, -79.93335800000153, FORBES AVE + SCHENLEY DR, 15659, 1
40.43780600000063, -79.9308369999994, FORBES AVE + MURDOCH, 7124, 1
40.43798599999846, -79.92798800000075, FORBES AVE + WIGHTMAN, 7125, 1
40.438010000000574, -79.9231980000006, FORBES AVE + MURRAY AVE, 7126, 1
40.43799999999997, -79.9195810000018, FORBES AVE + SHADY AVE, 7127, 1
40.43800499999872, -79.91805799999834, FORBES AVE + DENNISTON, 7128, 1
40.43800300000054, -79.91637299999948, FORBES AVE + BEECHWOOD, 7129, 1
40.43799400000069, -79.91323199999958, FORBES AVE + DALLAS, 7130, 1
40.43951399999961, -79.89954100000011, FORBES AVE + BRIARCLIFF, 7132, 1
40.43958000000107, -79.89792400000098, FORBES AVE + BRADDOCK, 7234, 1
40.438382999999675, -79.8971470000014, BRADDOCK AVE + GUTHRIE, 7235, 1
