lat, lon, stpnm, stpid, grp
40.44079199999867, -80.00065799999945, FIFTH AVE + WOOD ST, 20690, 2
40.4401209999985, -79.99883799999887, FIFTH AVE + SMITHFIELD ST, 20691, 2
40.43900200000089, -79.99582700000049, FIFTH AVE + ROSS ST, 20293, 2
40.437995000001116, -79.99353500000058, FORBES AVE + BOYD ST (DUQUESNE UNIV), 3241, 2
40.43794999999923, -79.99123400000033, FORBES AVE + MCANULTY DR, 3242, 2
40.43779000000051, -79.98849499999979, FORBES AVE + MAGEE ST, 3243, 2
40.43771500000013, -79.98669299999834, FORBES AVE + STEVENSON ST, 3244, 2
40.43763300000063, -79.98529300000038, FORBES AVE + PRIDE ST (MERCY HOSPITAL), 3245, 2
40.43752799999888, -79.98284199999861, FORBES AVE + VAN BRAAM ST, 3246, 2
40.437476000001034, -79.98169100000072, FORBES AVE + MILTENBERGER ST, 3247, 2
40.43738700000032, -79.97963499999966, FORBES AVE + GIST ST, 3248, 2
40.437331999999756, -79.9779969999996, FORBES AVE + JUMONVILLE, 7112, 2
40.437240999998856, -79.97613499999953, FORBES AVE + SENECA, 7113, 2
40.437178999998835, -79.97481299999836, FORBES AVE + MOULTRIE, 7114, 2
40.43722500000045, -79.96284499999935, FORBES AVE + CRAFT AVE FS, 26, 2
40.43829499999883, -79.96140900000154, FORBES AVE + HALKET ST (MAGEE HOSPITAL), 27, 2
40.43967000000061, -79.95950000000083, FORBES AVE + MCKEE PL, 28, 2
40.440986999998884, -79.95768500000058, FORBES AVE + ATWOOD ST, 29, 2
40.44217300000065, -79.95606199999827, FORBES AVE + BOUQUET ST FS, 30, 2
40.4430520000012, -79.95383499999886, FORBES AVE + BIGELOW BLVD (SCHENLEY DR), 31, 2
40.443641999998576, -79.95149200000078, FORBES AVE + BELLEFIELD NS, 2568, 2
40.44432700000086, -79.94889299999946, FORBES AVE + CRAIG ST, 7115, 2
40.44445799999993, -79.94229099999866, FORBES AVE + MOREWOOD (CARNEGIE MELLON), 7117, 2
40.44395900000055, -79.93940000000006, FORBES AVE + BEELER, 7119, 2
40.442788999999024, -79.9377799999986, FORBES + MARGARET MORRISON NS, 18173, 2
40.440575000000266, -79.93571900000126, FORBES AVE + PLAINFIELD, 7121, 2
40.43895599999882, -79.93424699999933, FORBES AVE + NORTHUMBERLAND, 20103, 2
40.43797399999975, -79.93335800000153, FORBES AVE + SCHENLEY DR, 15659, 2
40.43780600000063, -79.9308369999994, FORBES AVE + MURDOCH, 7124, 2
40.43798599999846, -79.92798800000075, FORBES AVE + WIGHTMAN, 7125, 2
40.438010000000574, -79.9231980000006, FORBES AVE + MURRAY AVE, 7126, 2
40.43717299999874, -79.92299899999985, MURRAY AVE + DARLINGTON, 10947, 2
40.4361330000004, -79.92291600000175, MURRAY AVE + BARTLETT, 10948, 2
40.43491100000106, -79.92289700000117, MURRAY AVE + BEACON, 18156, 2
40.43385299999902, -79.92300899999869, MURRAY AVE + HOBART, 10950, 2
40.43252199999912, -79.92318799999872, MURRAY AVE + PHILLIPS, 10951, 2
40.43017099999999, -79.92350499999839, MURRAY AVE + FORWARD, 10952, 2
40.42810700000106, -79.92516499999891, MURRAY AVE + MORROWFIELD, 10953, 2
40.42749999999994, -79.92634200000123, MURRAY AVE + BURCHFIELD, 10954, 2
40.42638600000051, -79.92760700000132, MURRAY AVE + FLEMINGTON ST, 19999, 2
40.42505799999882, -79.92812999999961, MURRAY AVE + WELFER, 10956, 2
40.423291999998725, -79.92868499999902, MURRAY AVE + LILAC, 10957, 2
40.42203600000118, -79.92891500000077, MURRAY AVE + LORETTA, 8526, 2
40.419851000000314, -79.92834999999835, MURRAY AVE + HAZELWOOD AVE, 19994, 2
40.41566599999969, -79.92515999999874, BROWNS HILL RD + IMOGENE RD, 10958, 2
40.413866000000446, -79.92298299999896, BROWNS HILL RD +PARKVIEW BLVD, 19376, 2
40.40620399999892, -79.91185399999961, 8TH AVE + WEST FS, 10961, 2
40.40713499999863, -79.91057100000073, 8TH AVE + AMITY FS, 10962, 2
40.407893999998585, -79.90906899999993, 8TH AVE + ANN FS, 10963, 2
40.408666999999056, -79.90756399999823, 8TH AVE + MCCLURE, 10964, 2
40.40881899999948, -79.90558700000022, 8TH AVE + DICKSON, 10965, 2
40.40897800000032, -79.90337400000172, 8TH AVE + LIBRARY, 10966, 2
40.40921800000068, -79.89882799999879, 8TH AVE + GRANT, 10968, 2
40.40871700000043, -79.89546800000029, 8TH AVE + RAVINE, 10969, 2
