lat, lon, stpnm, stpid, grp
40.44079199999867, -80.00065799999945, FIFTH AVE + WOOD ST, 20690, 2
40.4401209999985, -79.99883799999887, FIFTH AVE + SMITHFIELD ST, 20691, 2
40.43900200000089, -79.99582700000049, FIFTH AVE + ROSS ST, 20293, 2
40.437995000001116, -79.99353500000058, FORBES AVE + BOYD ST (DUQUESNE UNIV), 3241, 2
40.43794999999923, -79.99123400000033, FORBES AVE + MCANULTY DR, 3242, 2
40.43779000000051, -79.98849499999979, FORBES AVE + MAGEE ST, 3243, 2
40.43771500000013, -79.98669299999834, FORBES AVE + STEVENSON ST, 3244, 2
40.43763300000063, -79.98529300000038, FORBES AVE + PRIDE ST (MERCY HOSPITAL), 3245, 2
40.43752799999888, -79.98284199999861, FORBES AVE + VAN BRAAM ST, 3246, 2
40.437476000001034, -79.98169100000072, FORBES AVE + MILTENBERGER ST, 3247, 2
40.43738700000032, -79.97963499999966, FORBES AVE + GIST ST, 3248, 2
40.43772900000085, -79.97765800000171, JUMONVILLE ST + WATSON, 3249, 2
40.43811799999881, -79.97600700000045, FIFTH AVE + SENECA ST, 3250, 2
40.43799799999908, -79.97460600000015, FIFTH AVE + MOULTRIE, 3251, 2
40.43774799999867, -79.9729420000014, FIFTH AVE + BIRMINGHAM BRIDGE, 3252, 2
40.43720599999936, -79.97132099999986, FIFTH AVE + #2358, 2556, 2
40.436862999999434, -79.97022300000054, FIFTH AVE + #2410 (ACTA PROGRAM), 2557, 2
40.43640500000007, -79.96858199999868, FIFTH AVE + BRENHAM ST, 2558, 2
40.43740399999996, -79.96538399999869, FIFTH AVE + MAURICE ST, 19850, 2
40.43775899999897, -79.96414999999914, FIFTH AVE + CRAFT AVE (CARLOW UNIV), 2561, 2
40.43903500000055, -79.96211499999986, FIFTH AVE + HALKET ST, 2562, 2
40.44062899999996, -79.9599109999993, FIFTH AVE + MCKEE, 17671, 2
40.441136000000746, -79.95918800000138, FIFTH AVE + MEYRAN AVE, 2564, 2
40.442132000000555, -79.95786699999864, FIFTH AVE + OAKLAND AVE, 2565, 2
40.44304000000025, -79.9566109999998, FIFTH AVE + THACKERAY AVE, 2566, 2
40.444217999998585, -79.95494100000128, FIFTH AVE + BIGELOW BLVD (PITT), 2567, 2
40.44546499999887, -79.95322400000026, FIFTH AVE + TENNYSON AVE, 3253, 2
40.44628199999938, -79.95209499999952, FIFTH AVE + BELLEFIELD, 3254, 2
40.44786799999933, -79.94947699999975, CRAIG ST + PARK PLAZA, 2571, 2
40.44969700000014, -79.95061900000022, CRAIG ST + BAYARD ST, 2572, 2
40.45170900000109, -79.95183599999986, CRAIG ST + CENTRE AVE, 2573, 2
40.45215799999973, -79.95097800000138, CENTRE AVE + MELWOOD AVE, 2574, 2
40.4525050000003, -79.94981800000066, CENTRE AVE + NEVILLE ST, 2575, 2
40.45321699999847, -79.94745300000129, CENTRE AVE + MILLVALE, 8198, 2
40.454090999999245, -79.9445530000015, CENTRE AVE + MOREWOOD, 8199, 2
40.45496800000083, -79.94156699999905, CENTRE AVE + CYPRESS, 8201, 2
40.45554900000021, -79.93965300000042, CENTRE AVE + SHADYSIDE HOSPITAL, 8202, 2
40.45583500000097, -79.93873999999953, CENTRE AVE + AIKEN, 8203, 2
40.456474999998946, -79.93655399999987, CENTRE AVE + GRAHAM, 8204, 2
40.45702900000121, -79.93467899999864, CENTRE AVE + NEGLEY (MARKET DISTRICT), 8205, 2
40.45824500000115, -79.93381799999977, NEGLEY AVE + BAUM, 8206, 2
40.4605599999995, -79.93240399999975, NEGLEY AVE + FRIENDSHIP AVE, 8207, 2
40.46198200000107, -79.93155200000015, NEGLEY AVE + CORAL ST, 8208, 2
40.46320700000115, -79.93075599999848, NEGLEY AVE + PENN AVE, 8209, 2
40.46459200000071, -79.92995699999882, NEGLEY AVE + PENNLEY PARK APTS, 8210, 2
40.46554400000008, -79.92939699999935, NEGLEY AVE + RURAL ST, 8211, 2
40.466531999999695, -79.92879800000098, NEGLEY AVE + RIPPEY ST, 8212, 2
40.467518000000425, -79.92819599999933, NEGLEY AVE + EAST LIBERTY BLVD, 8213, 2
40.46864199999887, -79.92751599999988, NEGLEY AVE + BLACK ST, 8214, 2
40.4696390000007, -79.92697199999961, NEGLEY AVE + HAYS ST, 8215, 2
40.47132399999894, -79.9263139999988, NEGLEY AVE + STANTON AVE, 8216, 2
40.47240099999957, -79.92581900000026, NEGLEY AVE + JACKSON NS, 19011, 2
40.47410199999996, -79.92508300000098, NEGLEY AVE + WELLESLEY NS, 8218, 2
40.47530700000093, -79.92454899999878, NEGLEY AVE + HAMPTON, 8219, 2
40.47716400000084, -79.923782, NEGLEY AVE + BRYANT, 8220, 2
40.47646100000109, -79.92181300000036, BRYANT ST + MELLON, 8221, 2
40.476112000000306, -79.92089899999984, BRYANT ST + ST CLAIR, 8222, 2
40.475749000000185, -79.91995399999861, BRYANT ST + EUCLID, 3280, 2
40.47709800000101, -79.91894599999922, EUCLID AVE + CALLOW HILL FS, 3281, 2
40.47901800000065, -79.91777000000003, EUCLID AVE + BUNKERHILL, 3282, 2
40.478918000001, -79.9190910000008, ST CLAIR ST + BUNKER HILL APTS, 3118, 2
