lat, lon, stpnm, stpid, grp
40.44678100000123, -79.88875699999994, EAST BUSWAY + WILKINSBURG STATION B , 16111, 2
40.44284499999875, -79.88702500000082, EAST BUSWAY + HAY ST RAMP OUTBOUND SHELTER, 8153, 2
40.441851, -79.88726299999948, PENNWOOD AVE + FRANKILN, 19871, 2
40.44060999999929, -79.88745899999842, ROWLAND CONNECTOR + HIGHRISE, 7084, 2
40.4405419999991, -79.8893659999987, KELLY ST + PITT, 7085, 2
40.44113300000035, -79.89114700000043, KELLY ST + WEST, 7086, 2
40.441943999998934, -79.89235699999999, TRENTON AVE + REBECCA, 8224, 2
40.44329200000029, -79.89236500000128, TRENTON AVE + FRANKLIN, 8225, 2
40.44403299999846, -79.89211400000002, TRENTON AVE + SOUTH, 8226, 2
40.44568500000022, -79.89137299999948, TRENTON AVE + PENN, 8227, 2
40.446166999999576, -79.89206899999981, PENN AVE + TRENTON, 18527, 2
40.44660000000049, -79.89336699999856, PENN AVE + BRUSHTON, 7628, 2
40.44711199999929, -79.89491799999946, PENN AVE + BRADDOCK, 7629, 2
40.44814300000115, -79.89802100000087, PENN AVE + CARNEGIE, 7630, 2
40.44867799999965, -79.89962700000028, PENN AVE + LEXINGTON, 7631, 2
40.449140999999294, -79.90101999999978, PENN AVE + HOMEWOOD, 7632, 2
40.44995799999994, -79.90346000000086, PENN AVE + LANG, 7633, 2
40.45081000000084, -79.9060329999998, PENN AVE + MURTLAND, 18528, 2
40.45148200000012, -79.90803899999842, PENN AVE + DALLAS AVE, 20762, 2
40.45252399999871, -79.91012499999975, PENN AVE + LINDEN, 8229, 2
40.453914999998794, -79.9121299999999, PENN AVE + 5TH, 8230, 2
40.455992000000414, -79.9151419999992, PENN AVE + BAKERY SQUARE, 18942, 2
40.458198000000145, -79.91837799999837, PENN AVE + VILLAGE OF EASTSIDE SHPG CTR, 8233, 2
40.45971799999971, -79.92049899999823, PENN AVE OPP SHADY AVE, 22726, 2
40.46103099999884, -79.92358900000139, PENN AVE + SHERIDAN AVE, 8881, 2
40.461402999998725, -79.924630000001, PENN AVE + HIGHLAND AVE, 8882, 2
40.462500999999314, -79.92768200000177, PENN AVE AT EUCLID AVE, 22727, 2
40.463179999999745, -79.9309599999998, NEGLEY AVE + PENN AVE FS, 19060, 2
40.46203999999982, -79.93162500000079, NEGLEY AVE + CORAL ST, 8188, 2
40.4608079999987, -79.93236599999852, NEGLEY AVE + FRIENDSHIP AVE, 8189, 2
40.45904299999968, -79.9334680000016, NEGLEY AVE + #370 (BAUM BLVD), 8190, 2
40.45746799999963, -79.93424700000159, NEGLEY AVE + CENTRE, 8191, 2
40.45662199999856, -79.93637900000175, CENTRE AVE + GRAHAM, 8192, 2
40.456089000000375, -79.93817800000025, CENTRE AVE + AIKEN, 8193, 2
40.45539799999992, -79.94046100000126, CENTRE AVE + SHADYSIDE HOSPITAL, 8194, 2
40.45511999999887, -79.94139499999825, CENTRE AVE + CYPRESS, 8195, 2
40.454234999999116, -79.94436799999843, CENTRE AVE + MOREWOOD, 8196, 2
40.453386999998735, -79.94720999999996, CENTRE AVE + MILLVALE, 8197, 2
40.45268999999979, -79.94954099999948, CENTRE AVE + NEVILLE ST, 2631, 2
40.45232800000028, -79.95070700000137, CENTRE AVE + MELWOOD AVE, 2632, 2
40.45155299999962, -79.95188099999967, CRAIG ST + CENTRE AVE FS, 2633, 2
40.449868999999396, -79.9508539999989, CRAIG ST + BAYARD ST, 2634, 2
40.44725799999915, -79.94918800000083, CRAIG ST + FIFTH AVE, 2635, 2
40.446708000001095, -79.95170900000177, FIFTH AVE + BELLEFIELD, 1171, 2
40.445740000000235, -79.9531020000007, FIFTH AVE + TENNYSON AVE, 33, 2
40.44458400000019, -79.95468100000168, FIFTH AVE + BIGELOW BLVD (PITT), 34, 2
40.44328200000106, -79.95651099999891, FIFTH AVE + THACKERAY AVE, 35, 2
40.44190200000057, -79.9584430000002, FIFTH  AVE + ATWOOD ST, 36, 2
40.43948299999896, -79.96169800000126, FIFTH  AVE + CHESTERFIELD RD, 38, 2
40.43796199999893, -79.96379499999823, FIFTH AVE + CRAFT AVE (CARLOW UNIV), 2639, 2
40.43707916591804, -79.96585918650774, FIFTH AVE AT ROBINSON ST FS, 22609, 2
40.43650399999927, -79.96854099999847, FIFTH AVE + BRENHAM FS, 18165, 2
40.43690700000033, -79.97009500000163, FIFTH AVE + #2410 (ACTA PROGRAM), 2643, 2
40.437201999998884, -79.97099899999907, FIFTH AVE + #2358, 2644, 2
40.4378749999986, -79.97303899999875, FIFTH AVE + KIRKPATRICK FS, 18164, 2
40.43808200000029, -79.97454400000055, FIFTH AVE + MOULTRIE ST FS, 3147, 2
40.43819100000012, -79.9757959999985, FIFTH AVE + SENECA ST, 3148, 2
40.43827500000019, -79.97736199999862, FIFTH AVE + WYANDOTTE ST, 3149, 2
40.43834600000109, -79.97935999999973, FIFTH AVE + GIST ST, 3150, 2
40.438396999998865, -79.98063900000149, FIFTH AVE + DINWIDDIE ST, 3151, 2
40.43846899999888, -79.98242599999914, FIFTH AVE + VAN BRAAM ST, 3152, 2
40.438587000000076, -79.9848519999988, FIFTH AVE + PRIDE ST, 3154, 2
40.43864600000101, -79.98623700000084, FIFTH AVE + STEVENSON ST, 3155, 2
40.438697999999, -79.98811300000018, FIFTH AVE + MAGEE ST, 3156, 2
40.43884299999894, -79.9906689999986, FIFTH AVE + WASHINGTON PL, 3157, 2
40.438923000000464, -79.99250399999917, FIFTH AVE + DIAMOND ST, 18161, 2
40.43975199999996, -79.99418700000037, SIXTH AVE + CENTRE AVE, 20292, 2
40.440418000000754, -79.99463700000054, SIXTH AVE + BIGELOW BLVD, 1509, 2
