lat, lon, stpnm, stpid, grp
40.49013900000038, -79.86997200000157, OLD FREEPORT TERMINUS + FREEPORT, 3302, 1
40.48977300000112, -79.87251399999992, FREEPORT RD + #1372, 3194, 1
40.489328999999486, -79.87503599999916, FREEPORT RD + E OAK HILL RD, 3195, 1
40.48895499999996, -79.87690599999944, FREEPORT RD + S OAK HILL RD, 3196, 1
40.48815799999874, -79.87941899999903, FREEPORT RD + #1150, 3197, 1
40.487870000000704, -79.8806750000003, FREEPORT RD + FOX CHAPEL RD NS (PLAZA DRVWY), 3198, 1
40.48739999999857, -79.8843950000009, FREEPORT + #1050, 17356, 1
40.48727299999896, -79.88536300000146, FREEPORT RD + DOLLAR BANK(WATERWORKS), 17355, 1
40.48711300000115, -79.88643299999913, FREEPORT RD +  MAIN ENTRANCE (WATERWORKS), 9329, 1
40.487858999999204, -79.88848799999992, WATERWORKS MALL + WALMART, 17655, 1
40.488813999998946, -79.89187899999929, WATERWORKS MALL + MARSHALLS, 3202, 1
40.48770099999982, -79.89395599999979, WATERWORKS MALL + GIANT EAGLE, 3203, 1
40.488036000000214, -79.89799900000176, FREEPORT RD + DELAFIELD AVE FS, 3204, 1
40.48846400000035, -79.89956399999836, FREEPORT RD + VIRGINIA AVE FS, 3205, 1
40.48885600000059, -79.90096100000096, FREEPORT RD + BRILLIANT AVE, 3206, 1
40.489449999998996, -79.90317100000065, FREEPORT RD + EASTERN AVE, 3207, 1
40.48993499999972, -79.9049070000006, FREEPORT RD + CENTER AVE (ASPINWALL), 3208, 1
40.490700999998985, -79.90744999999953, FREEPORT RD + WESTERN AVE, 3209, 1
40.49202299999869, -79.90908399999874, FREEPORT RD + ORIGINAL MATRESS FACTORY, 3210, 1
40.493419999999865, -79.91422900000158, MAIN ST + 23RD, 16887, 1
40.49367899999966, -79.9157040000003, MAIN ST + 21ST ST, 12693, 1
40.49408500000097, -79.91797599999931, MAIN ST + 19TH ST, 12694, 1
40.49445899999978, -79.92031000000016, MAIN ST + #1834, 12695, 1
40.49459799999965, -79.92151700000012, MAIN ST + 18TH ST, 12696, 1
40.494731000000705, -79.92300099999835, MAIN ST + #1704, 12697, 1
40.49470499999947, -79.92522900000098, MAIN ST + 16TH ST, 12698, 1
40.49460399999882, -79.92622999999938, MAIN ST + 15TH ST, 12699, 1
40.494493999999904, -79.9274219999989, MAIN ST + 14TH ST, 12700, 1
40.494357999998904, -79.92960400000057, MAIN ST + 13TH ST, 12701, 1
40.494275000001124, -79.93086599999914, MAIN ST + #1102, 12702, 1
40.49460199999996, -79.93217899999838, MAIN ST + CANAL ST, 12703, 1
40.49463899999992, -79.9334719999996, MAIN ST + 9TH ST, 12704, 1
40.49466199999846, -79.93438100000057, MAIN ST + 8TH ST, 12705, 1
40.49469299999987, -79.93569900000008, MAIN ST + 6TH ST, 12706, 1
40.495318000000346, -79.93747700000033, MAIN ST + GARNIER ST, 12707, 1
40.49563799999881, -79.9383469999996, MAIN ST + POWERS ST, 12708, 1
40.49540300000017, -79.93941499999971, MAIN ST + 62ND ST BRIDGE, 19981, 1
40.488084999999124, -79.93823900000065, BUTLER ST + 62ND ST BRIDGE FS, 3213, 1
40.486333000000684, -79.94317700000077, BUTLER ST + #6002, 14964, 1
40.485256999999805, -79.94617100000038, BUTLER ST + 57TH, 14965, 1
40.4845040000006, -79.94793499999903, BUTLER ST + 56TH, 14966, 1
40.48373699999923, -79.9497099999985, BUTLER ST + 55TH ST, 9260, 1
40.482944000000586, -79.95115099999865, BUTLER ST + 54TH ST, 9261, 1
40.482239999999265, -79.95239999999987, BUTLER ST + 53RD, 16463, 1
40.48175499999858, -79.95326399999925, BUTLER ST + MCCANDLESS AVE, 9262, 1
40.48053599999913, -79.95446300000005, BUTLER ST + 52ND ST, 9263, 1
40.478522999998496, -79.95558899999932, BUTLER ST + 51ST (STANTON), 14967, 1
40.47713899999993, -79.95690200000107, BUTLER ST + 49TH, 14968, 1
40.47598299999919, -79.95770299999866, BUTLER ST + 48TH, 14969, 1
40.47408399999884, -79.95793900000099, BUTLER ST + 47TH, 14970, 1
40.472942, -79.95875599999972, BUTLER ST + 46TH, 14971, 1
