lat, lon, stpnm, stpid, grp
40.44402199999966, -79.99205200000047, EAST BUSWAY + PENN STATION C, 1407, 1
40.443810000000234, -79.99489199999864, LIBERTY AVE + 10TH ST NS, 7279, 1
40.442792000000765, -79.99860999999859, LIBERTY AVE + TITO WAY, 15266, 1
40.44179700000076, -80.0025140000018, LIBERTY AVE + FIFTH  AVE, 11186, 1
40.44143999999862, -80.00564300000062, LIBERTY AVE + WYNDHAM GRAND HOTEL, 4126, 1
40.43987299999953, -80.01716800000075, W CARSON ST + DUQUESNE INCLINE, 2309, 1
40.4417029999994, -80.02136700000149, W CARSON ST + GATEWAY VIEW PLAZA, 2310, 1
40.44477999999959, -80.02882499999863, W CARSON ST + WEST END BRIDGE STEPS (UNDERPASS), 2312, 1
40.452706999999144, -80.05290499999818, WEST BUSWAY + SHERADEN STATION B, 15270, 1
40.443814999999766, -80.06606499999876, WEST BUSWAY + INGRAM STATION STOP B, 18729, 1
40.43572499999978, -80.06774300000177, WEST BUSWAY + CRAFTON STATION STOP B, 18730, 1
40.426262999998606, -80.07275000000125, WEST BUSWAY + IDLEWOOD STATION STOP B, 18731, 1
40.415637000000636, -80.08288700000165, WEST BUSWAY + BELL STATION STOP B, 18732, 1
40.40718800000077, -80.08930800000013, MANSFIELD BLVD + CHARTIERS FS, 3920, 1
40.406140999998854, -80.08982599999959, MANSFIELD BLVD + JEFFERSON ST (CARNEGIE STATION), 20735, 1
40.40435299999876, -80.09112399999974, 3RD ST + MAIN FS, 3898, 1
40.40162900000014, -80.08844099999857, CAROTHERS AVE + CREEK, 3901, 1
40.400288000001034, -80.08831600000181, CAROTHERS AVE + HILL, 3902, 1
40.39784700000064, -80.08835100000071, CAROTHERS AVE + LOCUST, 3903, 1
40.39656699999926, -80.08805199999966, CAROTHERS AVE + FINLEY FS, 3904, 1
40.39571499999951, -80.08694899999847, CAROTHERS AVE + WASHINGTON, 5595, 1
40.39329199999908, -80.08770500000101, RAILROAD ST + 1ST FS, 5325, 1
40.39190100000083, -80.08783399999851, RAILROAD ST + 2ND, 5326, 1
40.39043499999929, -80.0880569999996, RAILROAD ST + 3RD, 5327, 1
40.38929800000095, -80.08871399999886, RAILROAD ST + 4TH FS, 19245, 1
40.388340999999556, -80.08985000000115, RAILROAD ST + COLLIER, 5329, 1
40.38739799999892, -80.09146599999858, WASHINGTON PIKE + RACEWAY PLAZA, 5330, 1
40.38133000000036, -80.09475500000137, WASHINGTON PIKE AT THOMS RUN RD - WOODVILLE PNR, 19246, 1
40.37949500000086, -80.09601400000138, WASHINGTON PIKE AT #1370, 22606, 1
40.37725500000012, -80.09732700000062, WASHINGTON PIKE + #1343, 22558, 1
40.37632400000066, -80.09785999999869, WASHINGTON PIKE + STEEN, 5490, 1
40.37404999999847, -80.09916200000116, WASHINGTON PIKE + WINSTEIN, 5491, 1
40.370471999998635, -80.10071799999943, WASHINGTON PIKE + VANADIUM, 5493, 1
40.36875799999927, -80.102364999999, WASHINGTON PIKE + GREAT SOUTHERN SC ENT #1, 5494, 1
40.36771399999988, -80.10422499999908, WASHINGTON PIKE + GREAT SOUTHERN SC ENT #2, 5495, 1
40.366211999998846, -80.10693700000053, WASHINGTON PIKE + MAYER, 5497, 1
40.36560099999928, -80.10807499999952, WASHINGTON PIKE + CHARTIERS VALLEY SC, 5498, 1
40.362700999999234, -80.11047299999944, WASHINGTON AVE + PRESTLEY, 5499, 1
40.36029399999891, -80.11152300000147, WASHINGTON AVE + MURRAY, 5500, 1
40.358592999998834, -80.11223500000166, WASHINGTON AVE + STATION ST, 19247, 1
40.35657899999879, -80.11340600000109, WASHINGTON AVE + JAMES ST FS (POST OFFICE), 5502, 1
