lat, lon, stpnm, stpid, grp
40.4435439999992, -79.99539000000027, LIBERTY AVE + WILLIAM PENN PL, 15285, 2
40.44329200000063, -79.99431600000015, GRANT ST + LIBERTY AVE FS (FED BLDG), 15287, 2
40.442790999998785, -79.996619999999, SEVENTH AVE + SMITHFIELD ST, 1125, 2
40.442792000000765, -79.99860999999859, LIBERTY AVE + TITO WAY, 15266, 2
40.44179700000076, -80.0025140000018, LIBERTY AVE + FIFTH  AVE, 11186, 2
40.44143999999862, -80.00564300000062, LIBERTY AVE + WYNDHAM GRAND HOTEL, 4126, 2
40.43987299999953, -80.01716800000075, W CARSON ST + DUQUESNE INCLINE, 2309, 2
40.4417029999994, -80.02136700000149, W CARSON ST + GATEWAY VIEW PLAZA, 2310, 2
40.44477999999959, -80.02882499999863, W CARSON ST + WEST END BRIDGE STEPS (UNDERPASS), 2312, 2
40.452706999999144, -80.05290499999818, WEST BUSWAY + SHERADEN STATION B, 15270, 2
40.443814999999766, -80.06606499999876, WEST BUSWAY + INGRAM STATION STOP B, 18729, 2
40.43572499999978, -80.06774300000177, WEST BUSWAY + CRAFTON STATION STOP B, 18730, 2
40.426262999998606, -80.07275000000125, WEST BUSWAY + IDLEWOOD STATION STOP B, 18731, 2
40.415637000000636, -80.08288700000165, WEST BUSWAY + BELL STATION STOP B, 18732, 2
40.4846129999999, -80.19618999999848, EWING RD AT COVENTRY HEALTH CARE, 22712, 2
40.49019900000079, -80.1971290000017, CHERRINGTON PKWY AT #1200 (SERVICELINK), 22713, 2
40.49222400000015, -80.20181799999843, CHERRINGTON PKWY AT #1000 (EATON), 22714, 2
40.49815999999858, -80.20734800000056, CHERRINGTON PKWY AT CORAOPOLIS HEIGHTS RD, 22715, 2
40.50391700000021, -80.22573699999955, UNIVERSITY BLVD PARK AND RIDE AT SHELTER, 15634, 2
