lat, lon, stpnm, stpid, grp
40.58666799999871, -80.03021599999923, MCCANDLESS PARK AND RIDE, 318, 1
40.58408000000048, -80.0280990000003, INGOMAR RD + SARATOGA DR, 320, 1
40.576656000001165, -80.02614600000005, MCKNIGHT RD + ARCADIA DR, 322, 1
40.572292000001084, -80.0237890000003, MCKNIGHT RD + CUMBERLAND RD, 327, 1
40.56878699999975, -80.02395599999973, MCKNIGHT RD + DUNCAN, 16841, 1
40.558318999999436, -80.02361299999859, MCKNIGHT RD + PERRYMONT RD, 329, 1
40.557391999999396, -80.02310200000096, MCKNIGHT RD + MALIBRAN DR, 129, 1
40.55316400000016, -80.02070299999893, MCKNIGHT RD + THE BLOCK AT NORTHWAY DRVWY, 18681, 1
40.5497100000001, -80.01909199999871, MCKNIGHT RD + #7905 (MAD MEX), 22432, 1
40.54599699999912, -80.01708300000116, MCKNIGHT RD + BROWNS LN, 132, 1
40.54218499999926, -80.01333100000026, MCKNIGHT RD + MCKNIGHT CIR (OPP ROSS PARK MALL DR), 18682, 1
40.54030499999923, -80.01229399999933, MCKNIGHT RD + TOYOTA DEALERSHIP, 134, 1
40.53945800000113, -80.01201800000128, MCKNIGHT RD + JAREDS JEWLERS DRVWY, 17340, 1
40.53777699999864, -80.0114589999991, MCKNIGHT RD + ROSS TOWNE CENTER, 135, 1
40.533742000001155, -80.01113900000102, MCKNIGHT RD + OLD MCKNIGHT RD, 136, 1
40.53111800000064, -80.01034599999954, MCKNIGHT RD + SEIBERT NS, 18684, 1
40.530195000000774, -80.00969200000169, MCKNIGHT RD + SEIBERT FS, 18685, 1
40.52828800000029, -80.00725900000145, MCKNIGHT RD + NORTH HILLS VILLAGE (NORTH ENT), 139, 1
40.52206399999904, -80.00544699999922, MCKNIGHT RD + NORTH HILLS VILLAGE (SOUTH ENT), 205, 1
40.51918700000038, -80.00504000000046, MCKNIGHT RD + NORTHLAND MEDICAL CENTER, 150, 1
40.51507800000039, -80.00440100000091, MCKNIGHT RD + BABCOCK RAMP FS, 18686, 1
40.511680999999705, -80.00391300000061, MCKNIGHT RD + BROOKVIEW LN, 152, 1
40.50935700000048, -80.00415900000027, MCKNIGHT RD + STEVENS DR, 153, 1
40.50701200000029, -80.00678999999907, MCKNIGHT RD + NELSON RUN RD, 154, 1
40.5050759999997, -80.00904400000125, MCKNIGHT RD + INTOWN SUITES DRVWY FS, 18687, 1
40.50292300000037, -80.01079400000116, MCKNIGHT RD + PITTSBURGH REVIVAL CENTER, 3079, 1
