lat, lon, stpnm, stpid, grp
40.570539999999376, -80.0028130000003, PEEBLES RD + SAMPLE, 461, 1
40.57065800000043, -80.00076899999941, SAMPLE RD + EASTVIEW #1, 462, 1
40.57107800000023, -79.99973000000085, SAMPLE RD + EASTVIEW #2, 463, 1
40.57176599999895, -79.99850499999961, SAMPLE RD + RINGEISEN, 464, 1
40.57233999999938, -79.99632799999827, SAMPLE RD + #1848, 465, 1
40.57336099999867, -79.99372599999886, SAMPLE RD + HIGH MEADOW, 16482, 1
40.57366599999977, -79.99293100000114, SAMPLE RD + ARDEN, 466, 1
40.57464599999877, -79.99053200000154, SAMPLE RD + NORTHGATE, 18697, 1
40.576424999999304, -79.9789939999989, HEMLOCK DR + SAMPLE FS, 1083, 1
40.57724400000016, -79.97953200000148, HEMLOCK DR + LAUREL OAK DR, 18695, 1
40.57887200000005, -79.98069899999838, HEMLOCK DR + #4424, 1085, 1
40.58669400000051, -79.99633299999965, HEMLOCK DR AT NORTH PARK POOL PARK AND RIDE, 504, 1
40.587193999999656, -79.99907800000013, HEMLOCK DR + BABCOCK, 18699, 1
40.58647799999916, -80.00042800000004, PRESIDENTIAL DR AT BABCOCK BLVD FS, 22483, 1
40.58498799999886, -79.99973499999894, PRESIDENTIAL DR + WASHINGTON, 18701, 1
40.58455800000064, -79.99957999999931, PRESIDENTIAL DR + JEFFERSON, 391, 1
40.583465000000636, -79.99885600000182, PRESIDENTIAL DR + MADISON (LEASE OFFICE), 392, 1
40.5832919999994, -79.99835999999966, PRESIDENTIAL DR + JACKSON, 16948, 1
40.582371999999744, -79.99693999999849, PRESIDENTIAL DR + COOLIDGE, 393, 1
40.58209900000033, -79.99473500000038, PRESIDENTIAL DR + HARDING, 394, 1
40.58189799999938, -79.99375700000107, PRESIDENTIAL DR + CLEVELAND, 18700, 1
40.57947800000113, -79.99466899999923, SPRINGFIELD DR + PEEBLE RD FS , 396, 1
40.579464000001195, -79.99390499999849, SPRINGFIELD DR + SHADY OAK, 18703, 1
40.57789300000058, -79.99242099999933, SPRINGFIELD DR + NORTHGATE, 18704, 1
40.5766880000004, -79.99073099999865, NORTHGATE DR + #9396, 399, 1
40.574761000000265, -79.9906310000018, NORTHGATE DR + SAMPLE RD, 400, 1
40.57377599999984, -79.9928310000012, SAMPLE RD + ARDEN, 18705, 1
40.57346199999856, -79.99362399999838, SAMPLE RD + HIGH MEADOW, 401, 1
40.57207900000063, -79.99806199999898, SAMPLE RD + COLLINGTON, 403, 1
40.57122299999896, -79.99959300000125, SAMPLE RD + EASTVIEW DR #2, 404, 1
40.57071099999998, -80.00080600000182, SAMPLE RD + EASTVIEW DR #1, 21119, 1
40.57063899999879, -80.00240299999872, SAMPLE RD + PEEBLES, 406, 1
40.56964500000066, -80.00387600000104, PEEBLES RD + LOCUST, 407, 1
40.56822600000124, -80.00607299999892, PEEBLES RD + KNOLL, 408, 1
40.56710000000114, -80.00724299999858, PEEBLES RD + DUNCAN AVE FS, 409, 1
40.56539900000095, -80.00853499999825, PEEBLES RD + PEEBLES SCHOOL RD, 410, 1
40.56409100000051, -80.00972800000093, PEEBLES RD + PARKWAY, 411, 1
40.56144700000008, -80.01303099999981, PEEBLES RD + REMINGTON, 414, 1
40.560087000000074, -80.01102099999899, REMINGTON DR + HAZLETT, 1090, 1
40.559421999999074, -80.00999400000141, REMINGTON DR + BINGAY, 1091, 1
40.55843400000039, -80.00881199999894, REMINGTON DR + BALMORAL #1, 1092, 1
40.55619399999938, -80.00759099999945, REMINGTON DR + REGENCY, 1093, 1
40.55512999999889, -80.00753000000115, REMINGTON DR + BALMORAL #2, 1094, 1
40.5541419999998, -80.00748500000005, REMINGTON DR + WALDWICK, 1095, 1
40.55153699999924, -80.00678999999937, ENNERDALE LN + DOUNREAY, 1096, 1
40.55170399999903, -80.00600400000009, ENNERDALE DR +LAURELWOOD, 18707, 1
40.55179600000033, -80.00513099999898, LAURELWOOD DR + #125, 1097, 1
40.55198400000115, -80.00255599999862, LAURELWOOD DR + FENWICK, 1098, 1
40.55242400000113, -80.00143099999983, LAURELWOOD DR + CHARTERWOOD, 1099, 1
40.5517850000009, -80.00081600000011, CHARTERWOOD DR + MCINTYRE, 1100, 1
40.552402999999785, -79.99857299999998, MCINTYRE DR + THOMPSON RUN, 1101, 1
40.55006999999893, -79.99751500000019, AMITY DR + THOMPSON RUN, 18708, 1
40.549164000001014, -79.99661300000176, AMITY DR + CARRIAGE, 1103, 1
40.54766099999928, -79.99470500000093, AMITY DR + LINGAY, 1104, 1
40.54571500000066, -79.99451500000136, AMITY DR + #213, 1105, 1
40.54490699999953, -79.99343100000102, AMITY DR + BLAZE, 1106, 1
40.54347599999956, -79.99255399999916, AMITY DR + SUTTER, 1107, 1
40.54337700000114, -79.99349200000103, SUTTER DR + THOMPSON, 1108, 1
40.541959000000745, -79.99243800000106, THOMPSON RUN RD + WHITE OAK, 1109, 1
40.53890200000008, -79.99018900000102, THOMPSON RUN RD + SANGREE, 1110, 1
40.536460999998596, -79.99034900000082, THOMPSON RUN RD + CHERRINGTON, 1111, 1
40.53538499999883, -79.99066899999997, THOMPSON RUN RD + HORIZON, 1112, 1
40.534863000000556, -79.99043999999968, THOMPSON RUN RD + HODIL, 1113, 1
40.532173000001, -79.9902270000009, THOMPSON RUN RD + SUNSET, 1114, 1
40.53040999999893, -79.99038200000119, THOMPSON RUN RD + BARNWOOD, 1115, 1
40.529193000000284, -79.99042999999864, THOMPSON RUN RD + SEIBERT, 1116, 1
40.52743899999849, -79.98857700000168, THOMPSON RUN RD + EASLEY, 1117, 1
40.524116999998995, -79.98887600000172, THOMPSON RUN RD + SUNNYHILL, 1118, 1
40.522335999998695, -79.99099100000021, THOMPSON RUN RD + MILLER, 1119, 1
40.51987199999891, -79.99201300000006, THOMPSON RUN RD + #218, 1120, 1
40.518540999998955, -79.9927340000005, THOMPSON RUN RD + WOODBRIDGE APTS, 1121, 1
40.51730200000098, -79.99375199999854, THOMPSON RUN RD + RADCLIFFE, 1122, 1
40.511453999999155, -79.99370000000134, THOMPSON RUN RD + EVERGREEN, 1123, 1
40.509857999999824, -79.99184899999878, BABCOCK BLVD + ROSECLIFF, 425, 1
40.50618000000043, -79.99040199999895, BABCOCK BLVD + EVERGREEN & PEOPLES PLANK RD, 18711, 1
40.505720000001006, -79.9950879999984, EVERGREEN RD + NELSON RUN, 428, 1
40.50099199999895, -80.00379200000022, EVERGREEN RD + #4535, 20901, 1
40.49628499999945, -80.00791499999926, EVERGREEN RD + IVORY NS, 18709, 1
40.49649100000072, -80.0089840000016, IVORY AVE + CHERRYLAND, 2799, 1
40.49676599999958, -80.01117100000089, IVORY AVE + VALLEYVIEW ST, 2800, 1
40.442790999998785, -79.996619999999, SEVENTH AVE + SMITHFIELD ST, 1125, 1
