lat, lon, stpnm, stpid, grp
40.44388799999913, -79.99848099999846, 9TH ST + PENN AVE, 179, 1
40.44253700000022, -79.9997660000013, LIBERTY AVE + 7TH ST (CLARK BLDG), 180, 1
40.4444450000012, -80.00073499999978, 7TH ST + FT DUQUESNE BLVD, 213, 1
40.44784600000109, -80.00196399999932, SANDUSKY ST + ISABELLA ST, 214, 1
40.49335699999945, -79.94825400000062, BUTLER ST + #188, 2419, 1
40.494271999998574, -79.94663399999894, BUTLER ST + ISABELLA, 2420, 1
40.495299000000024, -79.94545700000005, BUTLER ST + CENTER ST, 2421, 1
40.496406000000924, -79.94415000000025, BUTLER ST + FREEPORT ST, 2422, 1
40.497670000000326, -79.94385900000135, BUTLER ST + BRIDGE, 2423, 1
40.498845999998764, -79.9437809999996, BUTLER ST + MAPLEWOOD , 19533, 1
40.502041999998475, -79.94676700000079, CRESCENT + SULLIVAN WAY, 16485, 1
40.50414099999988, -79.94904600000122, GRANT AVE + WILSON, 2427, 1
40.50512299999856, -79.94982899999894, GRANT AVE + VILSACK, 2428, 1
40.50675000000095, -79.95089400000055, GRANT AVE + MT HOPE, 2429, 1
40.508453000000046, -79.95201999999985, GRANT AVE + HERMAN, 2430, 1
40.51089899999896, -79.95695199999865, MT ROYAL BLVD + KENNETH, 2431, 1
40.51230500000068, -79.95793300000089, MT ROYAL BLVD + PENNVIEW, 2432, 1
40.51403899999909, -79.9590260000008, MT ROYAL BLVD + WILJOHN, 2433, 1
40.51579500000031, -79.95907700000048, MT ROYAL BLVD + UNDERCLIFF, 2435, 1
40.51753800000107, -79.9589519999993, MT ROYAL BLVD + GENESSEE, 2437, 1
40.518964999998644, -79.95894699999852, MT ROYAL BLVD + BRAUN, 2438, 1
40.521358000001015, -79.95957399999861, MT ROYAL BLVD + GLENN, 2440, 1
40.52284500000092, -79.96023100000045, MT ROYAL BLVD + GLENSHAW, 2441, 1
40.52462199999879, -79.96201000000067, MT ROYAL BLVD + GARDEN PL (WETZELL), 2443, 1
40.52659699999891, -79.9634399999983, MT ROYAL BLVD + CAMPBELL, 2444, 1
40.52806399999992, -79.96457699999971, MT ROYAL BLVD + SHALER LIBRARY, 2445, 1
40.52943299999893, -79.96555599999964, MT ROYAL BLVD + SHAW, 2446, 1
40.532466999998995, -79.96792800000163, MT ROYAL BLVD + WOOD, 2447, 1
40.53445100000081, -79.96952800000015, MT ROYAL BLVD + MOREWOOD, 2448, 1
40.53561899999985, -79.97044000000152, MT ROYAL BLVD + KLEBER, 2449, 1
40.53673599999938, -79.97135199999911, MT ROYAL BLVD + IOLA, 2450, 1
40.537921999998545, -79.97210700000116, MT ROYAL BLVD + WOODLAND, 2451, 1
40.53910199999972, -79.9722100000004, MT ROYAL BLVD + SCOTT, 2452, 1
40.54126800000006, -79.97227200000142, MT ROYAL BLVD + HARTLE, 3417, 1
40.54272300000072, -79.97228799999876, MT ROYAL BLVD + ROYALCOURT, 2455, 1
40.54460300000005, -79.9723260000001, MT ROYAL BLVD + DEHAVEN CT, 2456, 1
40.54650999999993, -79.97233800000026, MT ROYAL BLVD + EADE, 2457, 1
40.54920700000098, -79.97180399999931, MT ROYAL BLVD + ILLINOIS, 2458, 1
40.55019900000041, -79.97145700000166, MT ROYAL BLVD + GRANDVIEW, 2459, 1
40.55110199999856, -79.97143600000102, MT ROYAL BLVD + DEHAVEN, 2460, 1
40.55432999999994, -79.97116400000111, MT ROYAL BLVD + HAMPTON AVE, 20900, 1
40.555683999998564, -79.97180200000156, FERGUSON RD + MT ROYAL BLVD FS, 19534, 1
40.557042999999744, -79.97334400000167, FERGUSON RD + LINWOOD #1, 2494, 1
