lat, lon, stpnm, stpid, grp
40.44423700000029, -79.99150399999935, EAST BUSWAY + PENN  STATION B, 5124, 1
40.45916299999908, -79.96694900000139, EAST BUSWAY + HERRON STATION B , 16107, 1
40.45658299999854, -79.93261600000132, EAST BUSWAY + NEGLEY STATION B, 20502, 1
40.45934799999958, -79.92308900000073, EAST BUSWAT + EAST LIBERTY STATION B , 16109, 1
40.45299999999873, -79.89937899999904, EAST BUSWAT + HOMEWOOD STATION B , 16110, 1
40.44678100000123, -79.88875699999994, EAST BUSWAY + WILKINSBURG STATION B , 16111, 1
40.44284499999875, -79.88702500000082, EAST BUSWAY + HAY ST RAMP OUTBOUND SHELTER, 8153, 1
40.442492999999324, -79.88411000000076, ROSS ST + WOOD, 17677, 1
40.44195999999892, -79.88252900000157, ROSS AVE + CENTER, 7703, 1
40.44158099999944, -79.88139399999855, ROSS AVE + MILL, 7704, 1
40.44110999999852, -79.87997700000122, ROSS AVE + COAL, 7705, 1
40.43948899999949, -79.87494899999962, PENN AVE + MIDLAND, 7965, 1
40.44051799999853, -79.87187999999986, PENN AVE + PRINCETON, 7966, 1
40.441915000000265, -79.8690639999987, PENN AVE + WEBER, 7967, 1
40.44246300000091, -79.867883999999, PENN AVE + SUPERIOR, 7968, 1
40.44310000000011, -79.86673899999921, PENN AVE + SUMMIT, 7969, 1
40.44366099999902, -79.86557799999991, PENN AVE + FAIRMONT, 7970, 1
40.44397799999953, -79.86441699999929, PENN AVE + BEACON HILL DR FS, 7902, 1
40.44426699999935, -79.86339599999926, PENN AVE + FINDLEY DR EAST, 7903, 1
40.44467699999851, -79.8611769999989, PENN AVE + GREENSBURG PIKE, 7904, 1
40.44510700000108, -79.8586490000008, WM PENN HWY + GRAHAM, 7905, 1
40.44555300000016, -79.85552299999833, WM PENN HWY + MCCREA, 7906, 1
40.44605199999907, -79.85020100000175, WILLIAM PENN HWY + CHURCHILL BORO BLDG, 7907, 1
40.444465000000584, -79.84458600000137, CHURCHILL RD + HOLLAND, 20918, 1
40.43821400000105, -79.8307010000016, WM PENN HWY + NOTTINGHAM, 13585, 1
40.4303059999996, -79.81358200000102, WM PENN HWY + PENN CENTER NS (DONUT SHOP), 12594, 1
40.42981099999906, -79.80940499999964, WM PENN HWY + KINGSTON, 19836, 1
40.43032799999991, -79.80632000000107, WM PENN HWY + HOME DEPOT, 7590, 1
40.432918999999174, -79.79879000000096, WM PENN HWY + KOHLS DRVWY, 7591, 1
40.432640000000575, -79.79415099999922, EXPOMART DR  + WEST ENTRANCE, 20685, 1
40.427112000000506, -79.79219799999956, MONROEVILLE MALL + PARK-N-RIDE SHELTER, 16284, 1
