lat, lon, stpnm, stpid, grp
40.44402199999966, -79.99205200000047, EAST BUSWAY + PENN STATION C, 1407, 1
40.443810000000234, -79.99489199999864, LIBERTY AVE + 10TH ST NS, 7279, 1
40.4287299999992, -79.79695499999895, MONROEVILLE MALL + WEST COURT ENTRANCE, 20686, 2
40.4316499999994, -79.79124499999966, MALL BLVD + K-MART, 20687, 2
40.431416000000716, -79.78811699999932, OXFORD DR. + PRIMARY CARE CENTER, 8065, 2
40.428432999998584, -79.78741499999902, MONROEVILLE BLVD + BOSSES, 8067, 2
40.42735499999977, -79.78820599999828, MONROEVILLE BLVD + JAMISON, 8068, 2
40.424797000000645, -79.7902450000007, MONROEVILLE BLVD + BRINTON, 8070, 2
40.42363299999936, -79.79395199999948, JAMES ST + JAMES ST EXT, 8071, 2
40.42170999999994, -79.79798499999917, JAMES ST + SPEELMAN FS, 18503, 2
40.42186400000017, -79.80311600000084, JAMES ST + QUEEN, 8074, 2
40.42119599999852, -79.80633200000058, JAMES ST AT #1445, 22564, 2
40.4201739999989, -79.80832800000165, JAMES ST + BUENA VISTA, 17126, 2
40.419144999999155, -79.81129300000082, JAMES ST + OHIO, 8076, 2
40.41676100000026, -79.81464700000049, JAMES ST + HARPER, 8077, 2
40.414924000000255, -79.8157840000004, JAMES ST + LOWER BOONE, 8078, 2
40.41313599999943, -79.81779099999962, JAMES ST + CAROTHERS, 8080, 2
40.41262899999891, -79.81839900000016, JAMES ST + GARDEN, 8081, 2
40.41087899999868, -79.81886099999998, JAMES ST + #531, 8082, 2
40.40921799999975, -79.81890099999848, JAMES ST + TURTLE CREEK-MONROEVILLE, 8083, 2
40.408026999998604, -79.8196040000015, ALBERT ST + MAPLE, 8085, 2
40.40787000000113, -79.82037600000126, MAPLE ST + CHARLES, 8095, 2
40.40753199999964, -79.82300199999862, MAPLE ST + #843, 8096, 2
40.40630799999996, -79.82519399999885, GRANT AVE + TRI-BORO, 8099, 2
40.404864999999994, -79.82585899999944, GRANT AVE + PENN, 8100, 2
40.405253000000386, -79.82700999999888, PENN AVE + THOMPSON , 17383, 2
40.40527100000002, -79.82873600000138, PENN AVE + SHAW NS, 18505, 2
40.40284399999862, -79.83145699999915, BRADDOCK AVE + KEYSTONE COMMONS PORTAL 9 FS, 40111, 2
40.40067599999884, -79.8334350000011, BRADDOCK AVE + ELECTRIC , 19472, 2
40.40050999999981, -79.83558000000068, DYNAMO WAY + BEECH, 17422, 2
40.39980899999959, -79.83563200000104, LINDEN AVE + CABLE, 7031, 2
40.39873599999955, -79.83665999999822, LINDEN AVE + SR CITIZEN APTS, 7032, 2
40.39501500000074, -79.83917200000097, BESSEMER AVE + GRANDVIEW, 7035, 2
40.39520699999934, -79.8415819999998, BESSEMER AVE + MAIN, 19570, 2
40.395778999999585, -79.8414230000006, MAIN ST + CENTER, 7523, 2
40.39653799999924, -79.84131600000075, MAIN ST + FRANKLIN, 7524, 2
40.397272999998734, -79.84119299999979, MAIN ST + HOWARD, 20093, 2
40.39801399999916, -79.84107999999837, MAIN ST + MAPLE, 7526, 2
40.3983990000011, -79.84102599999937, MAIN ST + RIDGE, 7527, 2
40.40029899999872, -79.8411259999999, BRINTON AVE + TERRACE, 7529, 2
40.40149299999904, -79.84120200000001, BRINTON AVE + RAVINE, 7530, 2
40.40223200000097, -79.84155899999915, BRINTON AVE + BOWERS, 7410, 2
40.403466999999004, -79.84286399999888, BRINTON AVE + QUARRY, 7411, 2
40.40495499999945, -79.843724999999, BRINTON AVE + SHERIDAN, 7412, 2
40.40580699999925, -79.84419599999868, BRINTON AVE + PALLAS, 7413, 2
40.405783999998675, -79.84529099999975, PALLAS ST + WOLFE AVE, 7414, 2
40.40689200000071, -79.84782799999937, BRINTON RD + MARY, 7415, 2
40.40773300000053, -79.84912100000143, BRINTON RD + TURNER, 7416, 2
40.41009299999971, -79.85068299999912, BRINTON RD + GENERAL BRADDOCK, 7418, 2
40.409816999999, -79.85244000000064, PRIVATE DR + BRINTON TOWERS, 7419, 2
40.41136299999992, -79.8521239999987, BRINTON RD + BRINTON MANOR, 8047, 2
40.41187900000055, -79.8540900000005, BRINTON RD + BRINTON MANOR DR W, 22618, 2
40.41255200000025, -79.8561100000001, BRINTON RD + YOST, 7424, 2
40.41455499999896, -79.8533399999993, BRADDOCK HILLS S C + STOREFRONT, 12565, 2
40.414494999998844, -79.85521899999952, BRADDOCK HILLS SC + GIANT EAGLE, 7357, 2
40.41279399999881, -79.85763799999907, BRINTON RD + #1584, 8048, 2
40.41993500000061, -79.8589349999984, BRINTON RD + RIDGE, 8050, 2
40.42157300000064, -79.86129700000006, BRINTON RD + FAIRFAX, 8051, 2
40.42247200000077, -79.86391299999883, BRINTON RD + BRADDOCK, 8052, 2
40.422986000001025, -79.86669499999878, BRINTON RD + #1245, 20723, 2
40.42457200000004, -79.868520999999, BRINTON RD + COLUMBIA, 8053, 2
40.42544000000056, -79.86912400000092, BRINTON RD + MCKELVEY, 8054, 2
40.42764699999965, -79.8729849999984, BRINTON RD + KINGS, 8056, 2
40.42900899999873, -79.87423699999877, BRINTON RD + WESTINGHOUSE COMPUTER CTR, 8057, 2
40.4325980000005, -79.87279500000115, BRINTON RD + HOLIDAY INN DRVWY FS, 18507, 2
40.43537100000052, -79.87165800000093, BRINTON RD + ARDMORE, 8061, 2
40.43585799999882, -79.87169399999979, ARDMORE BLVD + MARLBORO FS, 18508, 2
40.43680999999901, -79.8731539999996, ARDMORE BLVD + REBECCA FS, 7793, 2
40.43902400000087, -79.87632399999924, SOUTH AVE + ELVIA FS, 18509, 2
40.43970300000097, -79.87835000000115, SOUTH AVE + SWISSVALE, 7796, 2
40.44028399999997, -79.88010500000176, SOUTH AVE + COAL, 8062, 2
40.44076000000047, -79.88152599999842, SOUTH AVE + MILL, 7274, 2
40.44113499999966, -79.88265599999863, SOUTH AVE + CENTER, 7275, 2
40.44162000000053, -79.8841220000013, SOUTH AVE + MULBERRY, 7276, 2
40.44193599999965, -79.8850629999996, SOUTH AVE + WOOD NS, 18510, 2
40.44352799999906, -79.88697599999924, HAY ST RAMP + INBOUND SHELTER, 16014, 2
40.446630000001186, -79.88847500000091, EAST BUSWAY + WILKINSBURG STATION D, 16118, 2
40.45310200000116, -79.89934200000128, EAST BUSWAY + HOMEWOOD STATION C, 8154, 2
40.459448000000265, -79.92313700000076, EAST BUSWAY + EAST LIBERTY STATION C, 8161, 2
40.45653599999946, -79.93291199999916, EAST BUSWAY + NEGLEY STATION C, 8162, 2
40.45923500000031, -79.96708500000149, EAST BUSWAY + HERRON STATION C, 8163, 2
40.44402199999966, -79.99205200000047, EAST BUSWAY + PENN STATION C, 1407, 2
40.443810000000234, -79.99489199999864, LIBERTY AVE + 10TH ST NS, 7279, 2
40.42913299999903, -79.74905499999893, FORBES HOSPITAL, 22733, 4
40.433940999999294, -79.75435500000141, NORTHERN PIKE AT MOSSIDE BLVD FS, 22734, 4
40.433967000001175, -79.7639650000009, MONROEVILLE BLVD AT IVANHOE DR, 22736, 4
40.435794999999274, -79.77058200000113, MONROEVILLE BLVD OPP TARGET DRIVE, 22729, 4
40.436461999999516, -79.78014100000048, MONROEVILLE BLVD AT NORTHERN PIKE, 22740, 4
40.430599000000655, -79.78574000000174, MONROEVILLE BLVD AT OXFORD DR, 22730, 4
40.4287299999992, -79.79695499999895, MONROEVILLE MALL + WEST COURT ENTRANCE, 20686, 4
40.4316499999994, -79.79124499999966, MALL BLVD + K-MART, 20687, 4
40.431416000000716, -79.78811699999932, OXFORD DR. + PRIMARY CARE CENTER, 8065, 4
40.428432999998584, -79.78741499999902, MONROEVILLE BLVD + BOSSES, 8067, 4
40.42735499999977, -79.78820599999828, MONROEVILLE BLVD + JAMISON, 8068, 4
40.424797000000645, -79.7902450000007, MONROEVILLE BLVD + BRINTON, 8070, 4
40.42363299999936, -79.79395199999948, JAMES ST + JAMES ST EXT, 8071, 4
40.42170999999994, -79.79798499999917, JAMES ST + SPEELMAN FS, 18503, 4
40.42186400000017, -79.80311600000084, JAMES ST + QUEEN, 8074, 4
40.42119599999852, -79.80633200000058, JAMES ST AT #1445, 22564, 4
40.4201739999989, -79.80832800000165, JAMES ST + BUENA VISTA, 17126, 4
40.419144999999155, -79.81129300000082, JAMES ST + OHIO, 8076, 4
40.41676100000026, -79.81464700000049, JAMES ST + HARPER, 8077, 4
40.414924000000255, -79.8157840000004, JAMES ST + LOWER BOONE, 8078, 4
40.41313599999943, -79.81779099999962, JAMES ST + CAROTHERS, 8080, 4
40.41262899999891, -79.81839900000016, JAMES ST + GARDEN, 8081, 4
40.41087899999868, -79.81886099999998, JAMES ST + #531, 8082, 4
40.40921799999975, -79.81890099999848, JAMES ST + TURTLE CREEK-MONROEVILLE, 8083, 4
40.408026999998604, -79.8196040000015, ALBERT ST + MAPLE, 8085, 4
40.40787000000113, -79.82037600000126, MAPLE ST + CHARLES, 8095, 4
40.40753199999964, -79.82300199999862, MAPLE ST + #843, 8096, 4
40.40630799999996, -79.82519399999885, GRANT AVE + TRI-BORO, 8099, 4
40.404864999999994, -79.82585899999944, GRANT AVE + PENN, 8100, 4
40.405253000000386, -79.82700999999888, PENN AVE + THOMPSON , 17383, 4
40.40527100000002, -79.82873600000138, PENN AVE + SHAW NS, 18505, 4
40.40284399999862, -79.83145699999915, BRADDOCK AVE + KEYSTONE COMMONS PORTAL 9 FS, 40111, 4
40.40067599999884, -79.8334350000011, BRADDOCK AVE + ELECTRIC , 19472, 4
40.40050999999981, -79.83558000000068, DYNAMO WAY + BEECH, 17422, 4
40.39980899999959, -79.83563200000104, LINDEN AVE + CABLE, 7031, 4
40.39873599999955, -79.83665999999822, LINDEN AVE + SR CITIZEN APTS, 7032, 4
40.39501500000074, -79.83917200000097, BESSEMER AVE + GRANDVIEW, 7035, 4
40.39520699999934, -79.8415819999998, BESSEMER AVE + MAIN, 19570, 4
40.395778999999585, -79.8414230000006, MAIN ST + CENTER, 7523, 4
40.39653799999924, -79.84131600000075, MAIN ST + FRANKLIN, 7524, 4
40.397272999998734, -79.84119299999979, MAIN ST + HOWARD, 20093, 4
40.39801399999916, -79.84107999999837, MAIN ST + MAPLE, 7526, 4
40.3983990000011, -79.84102599999937, MAIN ST + RIDGE, 7527, 4
40.40029899999872, -79.8411259999999, BRINTON AVE + TERRACE, 7529, 4
40.40149299999904, -79.84120200000001, BRINTON AVE + RAVINE, 7530, 4
40.40223200000097, -79.84155899999915, BRINTON AVE + BOWERS, 7410, 4
40.403466999999004, -79.84286399999888, BRINTON AVE + QUARRY, 7411, 4
40.40495499999945, -79.843724999999, BRINTON AVE + SHERIDAN, 7412, 4
40.40580699999925, -79.84419599999868, BRINTON AVE + PALLAS, 7413, 4
40.405783999998675, -79.84529099999975, PALLAS ST + WOLFE AVE, 7414, 4
40.40689200000071, -79.84782799999937, BRINTON RD + MARY, 7415, 4
40.40773300000053, -79.84912100000143, BRINTON RD + TURNER, 7416, 4
40.41009299999971, -79.85068299999912, BRINTON RD + GENERAL BRADDOCK, 7418, 4
40.409816999999, -79.85244000000064, PRIVATE DR + BRINTON TOWERS, 7419, 4
40.41136299999992, -79.8521239999987, BRINTON RD + BRINTON MANOR, 8047, 4
40.41187900000055, -79.8540900000005, BRINTON RD + BRINTON MANOR DR W, 22618, 4
40.41255200000025, -79.8561100000001, BRINTON RD + YOST, 7424, 4
40.41455499999896, -79.8533399999993, BRADDOCK HILLS S C + STOREFRONT, 12565, 4
40.414494999998844, -79.85521899999952, BRADDOCK HILLS SC + GIANT EAGLE, 7357, 4
40.41279399999881, -79.85763799999907, BRINTON RD + #1584, 8048, 4
40.41993500000061, -79.8589349999984, BRINTON RD + RIDGE, 8050, 4
40.42157300000064, -79.86129700000006, BRINTON RD + FAIRFAX, 8051, 4
40.42247200000077, -79.86391299999883, BRINTON RD + BRADDOCK, 8052, 4
40.422986000001025, -79.86669499999878, BRINTON RD + #1245, 20723, 4
40.42457200000004, -79.868520999999, BRINTON RD + COLUMBIA, 8053, 4
40.42544000000056, -79.86912400000092, BRINTON RD + MCKELVEY, 8054, 4
40.42764699999965, -79.8729849999984, BRINTON RD + KINGS, 8056, 4
40.42900899999873, -79.87423699999877, BRINTON RD + WESTINGHOUSE COMPUTER CTR, 8057, 4
40.4325980000005, -79.87279500000115, BRINTON RD + HOLIDAY INN DRVWY FS, 18507, 4
