lat, lon, stpnm, stpid, grp
40.3301529999986, -79.9235009999994, SOUTH CAMPUS DRVWY + LIBRARY ENTRANCE, 10129, 1
40.332344000000525, -79.93366299999904, HWY RT 885 + LEWIS RUN, 10078, 1
40.33595800000017, -79.93662500000111, HWY RT 885 + GORDENS, 10130, 1
40.33838099999876, -79.93765199999994, HWY RT 885 + HUSTON, 10131, 1
40.34466899999884, -79.93986500000094, MOUNTAINVIEW DR + GREASE MONKEY, 9447, 1
40.34334999999911, -79.9425869999991, CENTURY DR + GABRIEL BROTHERS, 21463, 1
40.341258999998615, -79.9448469999985, WAL MART DR + SHELTER, 16281, 1
40.344604000000615, -79.94826300000148, CENTURY DR + SAMS CLUB DRVWY, 20775, 1
40.34893899999947, -79.94765000000092, DELWAR + APPLEBEES DRVWY, 18667, 1
40.350830000000514, -79.95082100000101, DELWAR + RITTER ENGINEERING DRVWY, 18668, 1
40.359632999998595, -79.95971399999902, PROSPECT RD + CAPAREL TOWNHOUSES, 17533, 1
40.36138699999882, -79.96221700000096, PROSPECT RD + BERYL FS, 17534, 1
40.362775999999535, -79.96359499999967, HOLLYROOD DR + PROSPECT , 20247, 1
40.364495999999384, -79.96464500000076, MAPLE DR + SKYLINE, 9814, 1
40.36570599999997, -79.96399700000109, SKYLINE DR + #1765, 21451, 1
40.36663600000114, -79.96249199999907, SKYLINE DR + BALDWIN HEALTH CENTER, 21452, 1
40.367138000000615, -79.963974999999, SKYLINE DR + PARKLINE DR, 21453, 1
40.367996999999924, -79.96549099999844, PARKLINE DR + #1695, 21454, 1
40.36707999999909, -79.96744800000069, PARKLINE DR + #1631, 21455, 1
40.365996999998934, -79.96817300000004, PARKLINE DR + #1551 (RENTAL OFFICE), 21456, 1
40.36497899999918, -79.96698599999992, PARKLINE DR + RADFORD RD, 22311, 1
40.363838999999516, -79.96798599999974, RADFORD RD + WILLOCK (OPP 7-11), 9425, 1
40.36287699999847, -79.97065499999958, PROSPECT RD + COLTER, 9426, 1
40.36406899999873, -79.97307899999922, PROSPECT RD + ABBOTT, 9427, 1
40.36375299999994, -79.9749179999984, PROSPECT RD + GIESE, 9428, 1
40.362325999999655, -79.97839100000088, PROSPECT RD + WAINWRIGHT, 9430, 1
40.360802999998505, -79.98000799999862, PROSPECT RD + BAUMAN, 9431, 1
40.35954500000115, -79.98053100000055, 18679, 18679, 1
40.36128799999978, -79.98222100000088, STILLEY RD + HWY RT 51, 9433, 1
40.36354000000075, -79.98385999999927, HWY RT 51 + BROWNSVILLE, 9424, 1
40.36670199999899, -79.98420299999955, HWY RT 51 + BRENTWOOD TOWN SQUARE, 9700, 1
40.36800599999963, -79.98355100000107, HWY RT 51 + PIZZA HUT, 9701, 1
40.37051800000094, -79.98229499999971, HWY RT 51 + MARYLEA, 9702, 1
40.37534599999956, -79.98315800000131, HWY RT 51 + GREENLEE, 9704, 1
40.37770399999846, -79.98734299999974, HWY RT 51 + #2859, 9695, 1
40.37864999999924, -79.99275100000011, HWY RT 51 + STEWART AVE, 22301, 1
40.38240199999908, -79.99562100000145, JUGHANDLE + IVYGLEN FS, 22259, 1
40.38275400000001, -79.99663900000176, GLENBURY ST RAMP + SOUTH BUSWAY, 20912, 1
40.38521799999894, -79.99585300000065, SOUTH BUSWAY + OVERBROOK SHELTER, 6838, 1
40.38761000000095, -79.99706899999876, SOUTH BUSWAY + INGLEWOOD SHELTER, 6839, 1
40.39028199999984, -79.99817300000103, SOUTH BUSWAY + CENTRAL SHELTER, 6840, 1
40.392453999998764, -79.99835199999923, SOUTH BUSWAY + SOUTH BANK, 6841, 1
40.39558400000077, -79.99958200000009, SOUTH BUSWAY + WHITED ST SHELTER, 6842, 1
40.40298600000084, -80.00218699999952, SOUTH BUSWAY + EDGEBROOK SHELTER, 6843, 1
40.41188300000008, -80.00849300000137, SOUTH BUSWAY + PIONEER AVE RAMP, 6844, 1
40.41643200000069, -80.01183299999963, SOUTH BUSWAY + PALM GARDEN, 6094, 1
40.42125499999911, -80.00680400000027, SOUTH BUSWAY + SOUTH HILLS JCT , 6095, 1
40.43178899999928, -80.00370500000085, PRIVATE ROADWAY + STATION SQUARE STATION, 9827, 1
40.43189499999924, -80.00331200000093, E CARSON ST + STATION SQUARE STATION, 11216, 1
40.43706599999896, -80.0016629999986, FT PITT BLVD + SMITHFIELD ST FS, 4828, 1
40.439076000000256, -80.00147100000095, WOOD ST + THIRD AVE FS, 4829, 1
40.44029200000095, -80.00063999999941, WOOD ST + FORBES AVE AND FIFTH AVE, 4831, 1
40.4418010000008, -79.99964299999903, WOOD ST + SIXTH AVE, 4832, 1
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 1
