lat, lon, stpnm, stpid, grp
40.44159299999952, -79.99826000000067, SIXTH AVE + SMITHFIELD, 4833, 2
40.44023200000057, -79.99860899999877, SMITHFIELD ST AT FIFTH AVE, 22728, 2
40.439558000000304, -79.99905500000085, SMITHFIELD ST + FORBES AVE, 4838, 2
40.43830200000052, -79.9998980000012, SMITHFIELD ST + THIRD AVE, 4839, 2
40.436890999999584, -80.00084199999931, SMITHFIELD ST + FT PITT BLVD, 4840, 2
40.43295999999952, -80.00349399999855, SMITHFIELD ST BRIDGE + STATION SQUARE, 6096, 2
40.42109000000042, -80.00709699999906, SOUTH BUSWAY + SOUTH HILLS JCT, 19685, 2
40.41609999999956, -80.0118210000003, SOUTH BUSWAY + PALM GARDEN, 6098, 2
40.41184099999876, -80.00854699999935, SOUTH BUSWAY + PIONEER AVE RAMP FS, 20224, 2
40.40287499999868, -80.00230399999846, SOUTH BUSWAY + EDGEBROOK SHELTER, 6849, 2
40.39554599999904, -79.99971700000123, SOUTH BUSWAY + WHITED ST SHELTER, 6850, 2
40.392554999999156, -79.9984330000013, SOUTH BUSWAY + SOUTH BANK, 6851, 2
40.39035999999905, -79.99822200000047, SOUTH BUSWAY + CENTRAL SHELTER, 6852, 2
40.38767399999919, -79.99720400000166, SOUTH BUSWAY + INGLEWOOD SHELTER, 6853, 2
40.385267999999606, -79.99590200000087, SOUTH BUSWAY + OVERBROOK SHELTER, 6854, 2
40.38285200000109, -79.99678100000085, SOUTH BUSWAY + GLENBURY AVE RAMP, 6855, 2
40.3812930000004, -79.99550500000082, HWY RT 51 + HILLVIEW, 18677, 2
40.378742000000265, -79.99324799999982, HWY RT 51 + STEWART, 9647, 2
40.378346000000974, -79.9898569999996, HWY RT 51 + #2790, 9648, 2
40.37759400000066, -79.9874419999993, HWY RT 51 + #2850, 9649, 2
40.37566400000039, -79.98368800000169, HWY RT 51 + GREENLEE RD, 9650, 2
40.37309500000073, -79.98214599999838, HWY RT 51 + #3500, 9651, 2
40.370795999999, -79.98234799999966, HWY RT 51 + DELCO, 9652, 2
40.36845200000028, -79.98350599999878, HWY RT 51 + #4040, 9653, 2
40.36691899999917, -79.98427700000073, HWY RT 51 + OLD CLAIRTON, 9815, 2
40.363980000001, -79.98432399999925, HWY RT 51 + BROWNSVILLE, 18431, 2
40.36116900000072, -79.98207500000099, STILLEY RD + HWY RT 51, 18678, 2
40.3595329999988, -79.98043799999982, PROSPECT RD + STILLEY FS, 9554, 2
40.36076799999967, -79.9799549999993, PROSPECT RD + BAUMAN, 9555, 2
40.36221499999971, -79.97855499999949, PROSPECT RD + WAINWRIGHT, 9556, 2
40.36362299999905, -79.97504600000107, PROSPECT RD + GIESE, 9558, 2
40.364070000000126, -79.97337300000012, PROSPECT RD + ABBOTT, 9559, 2
40.362979999999055, -79.97120800000035, PROSPECT RD + COLTER, 9560, 2
40.36333199999936, -79.96834900000042, PROSPECT RD + E WILLOCK, 9561, 2
40.36434800000113, -79.96736599999979, RADFORD RD + BEVAN, 9816, 2
40.36520099999887, -79.9669249999987, PARKLINE DR + RADFORD RD FS, 21457, 2
40.366758999999654, -79.96767199999843, PARKLINE DR + #1620, 21458, 2
40.367953000001066, -79.96540999999972, PARKLINE DR + #1690, 21459, 2
40.36726199999879, -79.96410000000127, PARKLINE DR + SKYLINE DR, 21460, 2
40.36686200000012, -79.9627279999983, SKYLINE DR + BALDWIN HEALTH CENTER, 21462, 2
40.364869999999144, -79.96459599999915, SKYLINE DR + MAPLE DR NS, 21461, 2
40.36421099999868, -79.96445000000155, MAPLE DR AT HOLLYWOOD DR, 21223, 2
40.362714999998985, -79.96364799999904, PROSPECT RD AT HOLLYROOD RD FS, 22663, 2
40.36133699999947, -79.96225800000116, PROSPECT RD + BERLY, 16340, 2
40.35967299999945, -79.95987799999921, PROSPECT RD + CAPREL TOWNHOUSES, 20249, 2
40.35080899999854, -79.95093300000093, DELWAR + RITTER ENGINEERING DRVWY, 18672, 2
40.34898099999917, -79.94775300000093, DELWAR + APPLEBEES DRVWY, 18673, 2
40.34450700000012, -79.9482729999987, CENTURY DR+ SAMS CLUB DRWY, 9613, 2
40.341258999998615, -79.9448469999985, WAL MART DR + SHELTER, 16281, 2
40.34328400000046, -79.94266900000144, CENTURY DR + GABRIEL BROTHERS, 22628, 2
40.344582000000806, -79.93967799999984, MOUNTAINVIEW DR + GREASE MONKEY, 9616, 2
40.3382579999999, -79.93782900000139, HWY RT 885 + HUSTON, 10214, 2
40.335938000001036, -79.93681600000068, HWY RT 885 + GORDENS, 10215, 2
40.33346400000075, -79.9348720000015, HWY ROUTE 885 + LEWIS RUN ROAD NS, 12059, 2
40.3301529999986, -79.9235009999994, SOUTH CAMPUS DRVWY + LIBRARY ENTRANCE, 10129, 2
