service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2106-Collier-Weekday-23,1,1,1,1,1,0,0,20210620,20210904
2106-Collier-Saturday-75,0,0,0,0,0,1,0,20210620,20210904
2106-Collier-Sunday-15,0,0,0,0,0,0,1,20210620,20210904
2106-Liberty-Weekday-25,1,1,1,1,1,0,0,20210620,20210904
2106-Liberty-Saturday-75,0,0,0,0,0,1,0,20210620,20210904
2106-Liberty-Sunday-15,0,0,0,0,0,0,1,20210620,20210904
2106-Mifflin-Weekday-25,1,1,1,1,1,0,0,20210620,20210904
2106-Mifflin-Saturday-75,0,0,0,0,0,1,0,20210620,20210904
2106-Mifflin-Sunday-15,0,0,0,0,0,0,1,20210620,20210904
2106-Ross-Weekday-25,1,1,1,1,1,0,0,20210620,20210904
2106-Ross-Saturday-75,0,0,0,0,0,1,0,20210620,20210904
2106-Ross-Sunday-15,0,0,0,0,0,0,1,20210620,20210904
2106-Village-Weekday-25,1,1,1,1,1,0,0,20210620,20210904
2106-Village-Saturday-75,0,0,0,0,0,1,0,20210620,20210904
2106-Village-Sunday-15,0,0,0,0,0,0,1,20210620,20210904
W,1,1,1,1,1,0,0,20210620,20210904
S,0,0,0,0,0,1,0,20210620,20210904
U,0,0,0,0,0,0,1,20210620,20210904
