route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
21-188,2106-Collier-Weekday-23,3762-1689829,Outbound-(OS)-CORAOPOLIS-SEWICKLEY TO SEWICKLEY,0,21 -029,210003,1
21-188,2106-Collier-Weekday-23,3765-1689983,Outbound-(OU)-CORAOPOLIS-MOON TO UNIVERSITY BLVD PARK-AND-RIDE,0,21 -028,210002,1
21-188,2106-Collier-Weekday-23,3768-1689970,Outbound-(OS)-CORAOPOLIS-SEWICKLEY TO SEWICKLEY,0,21 -030,210003,1
21-188,2106-Collier-Weekday-23,3770-1689986,Outbound-(OU)-CORAOPOLIS-MOON TO UNIVERSITY BLVD PARK-AND-RIDE,0,21 -031,210002,1
24-188,2106-Collier-Weekday-23,3182-1689833,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -042,240018,1
24-188,2106-Collier-Weekday-23,3183-1689837,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -043,240018,1
24-188,2106-Collier-Weekday-23,3184-1689840,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -044,240018,1
24-188,2106-Collier-Weekday-23,3185-1689841,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,24 -045,240019,1
24-188,2106-Collier-Weekday-23,3186-1689833,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -042,240018,1
24-188,2106-Collier-Weekday-23,3187-1689837,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,24 -043,240019,1
24-188,2106-Collier-Weekday-23,3188-1689840,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -044,240018,1
24-188,2106-Collier-Weekday-23,3190-1689841,Inbound-(IB)-WEST PARK-PICKFORD TO DOWNTOWN,1,24 -045,240019,1
24-188,2106-Collier-Weekday-23,3192-1689981,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -047,240018,1
24-188,2106-Collier-Weekday-23,2929-1690007,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,24 -054,240001,1
24-188,2106-Collier-Weekday-23,3204-1690004,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -053,240018,1
24-188,2106-Collier-Weekday-23,2934-1689847,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,20 -010,240001,1
24-188,2106-Collier-Weekday-23,3205-1690009,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -051,240018,1
24-188,2106-Collier-Weekday-23,2941-1689846,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,24 -055,240001,1
24-188,2106-Collier-Weekday-23,3207-1690004,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -053,240018,1
24-188,2106-Collier-Weekday-23,2946-1689846,Inbound-(IA)-WEST PARK TO DOWNTOWN,1,24 -055,240001,1
24-188,2106-Collier-Weekday-23,3209-1690011,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -056,240018,1
24-188,2106-Collier-Weekday-23,3211-1690013,Inbound-(I)-WEST PARK TO DOWNTOWN,1,24 -057,240018,1
